IBOV - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.484.859.030;1,850;1,850;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.588.205;0,477;0,477;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.741.172;0,274;2,356;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.693.556;0,750;2,356;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,119;2,356;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;167.095.214;0,105;2,356;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1,108;2,356;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;78.053.723;0,029;0,029;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,818;3,551;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.290.736.673;2,279;3,551;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;348.234.011;0,269;3,551;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.409.710;0,185;3,551;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.380.195.841;3,028;3,028;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;794.531.367;0,630;1,169;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,380;1,169;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,159;1,169;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;834.914.221;0,701;0,701;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96.270.946;0,260;0,260;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.875.824;0,516;2,912;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;489.316.435;0,262;2,912;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;977.821.540;1,253;2,912;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,443;2,912;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;336.154.589;0,202;2,912;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.596.295.753;0,236;2,912;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;201.257.220;0,203;0,203;
