"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.05.2022","3.554,46","3.493,62","3.565,15","3.408,96","-","1,74%"
"03.05.2022","3.493,69","3.518,70","3.521,46","3.476,06","-","-0,71%"
"02.05.2022","3.518,70","3.556,75","3.579,78","3.479,29","-","-1,07%"
"29.04.2022","3.556,75","3.662,30","3.722,98","3.556,53","-","-2,88%"
"28.04.2022","3.662,21","3.666,28","3.691,09","3.616,72","-","-0,11%"
"27.04.2022","3.666,28","3.663,64","3.734,01","3.658,73","-","0,07%"
"26.04.2022","3.663,66","3.751,31","3.755,00","3.659,51","-","-2,34%"
"25.04.2022","3.751,31","3.741,28","3.774,07","3.703,60","-","0,27%"
"22.04.2022","3.741,30","3.825,31","3.825,31","3.721,27","-","-2,20%"
"20.04.2022","3.825,33","3.875,82","3.903,73","3.825,33","-","-1,30%"
"19.04.2022","3.875,82","3.864,06","3.888,23","3.810,06","-","0,30%"
"18.04.2022","3.864,09","3.868,73","3.877,68","3.828,86","-","-0,12%"
"14.04.2022","3.868,74","3.904,69","3.908,24","3.855,65","-","-0,92%"
"13.04.2022","3.904,68","3.920,01","3.937,99","3.879,83","-","-0,39%"
"12.04.2022","3.920,01","3.945,38","4.032,20","3.906,74","-","-0,64%"
"11.04.2022","3.945,31","4.000,97","4.000,97","3.933,16","-","-1,40%"
"08.04.2022","4.001,14","4.041,63","4.041,63","3.933,00","-","-1,00%"
"07.04.2022","4.041,63","4.061,86","4.067,59","4.013,69","-","-0,50%"
"06.04.2022","4.061,86","4.157,63","4.157,63","4.009,67","-","-2,30%"
"05.04.2022","4.157,68","4.240,60","4.275,62","4.156,19","-","-1,96%"
"04.04.2022","4.240,61","4.247,97","4.251,79","4.207,21","-","-0,17%"
"01.04.2022","4.247,97","4.144,69","4.256,93","4.144,65","-","2,49%"
"31.03.2022","4.144,68","4.150,11","4.186,07","4.138,94","-","-0,13%"
"30.03.2022","4.150,18","4.187,35","4.190,84","4.131,52","-","-0,89%"
"29.03.2022","4.187,34","4.084,32","4.209,65","4.084,32","-","2,52%"
"28.03.2022","4.084,25","4.081,03","4.105,22","4.054,18","-","0,08%"
"25.03.2022","4.081,02","4.020,30","4.103,09","4.020,30","-","1,51%"
"24.03.2022","4.020,28","3.954,98","4.021,02","3.917,53","-","1,65%"
"23.03.2022","3.954,98","3.935,04","3.961,20","3.881,46","-","0,51%"
"22.03.2022","3.935,04","3.854,51","3.953,43","3.854,51","-","2,09%"
"21.03.2022","3.854,49","3.890,00","3.905,28","3.823,29","-","-0,91%"
"18.03.2022","3.890,00","3.792,75","3.901,00","3.762,65","-","2,56%"
"17.03.2022","3.792,78","3.752,70","3.797,49","3.722,68","-","1,07%"
"16.03.2022","3.752,68","3.660,62","3.757,77","3.660,62","-","2,52%"
"15.03.2022","3.660,33","3.634,78","3.685,13","3.608,36","-","0,70%"
"14.03.2022","3.634,79","3.667,35","3.709,12","3.631,26","-","-0,89%"
"11.03.2022","3.667,33","3.770,28","3.807,47","3.655,32","-","-2,73%"
"10.03.2022","3.770,26","3.866,88","3.867,02","3.710,46","-","-2,50%"
"09.03.2022","3.866,95","3.702,60","3.884,61","3.702,60","-","4,44%"
"08.03.2022","3.702,59","3.669,19","3.763,84","3.632,47","-","0,91%"
"07.03.2022","3.669,18","3.816,91","3.816,91","3.660,22","-","-3,87%"
"04.03.2022","3.816,91","3.894,00","3.900,50","3.791,68","-","-1,98%"
"03.03.2022","3.894,14","3.936,01","3.965,83","3.886,35","-","-1,06%"
"02.03.2022","3.936,00","3.919,84","3.970,33","3.913,99","-","0,41%"
"25.02.2022","3.919,84","3.934,88","3.945,00","3.861,82","-","-0,38%"
"24.02.2022","3.934,88","3.954,21","3.954,21","3.779,15","-","-0,49%"
"23.02.2022","3.954,34","3.976,91","4.012,04","3.920,68","-","-0,57%"
"22.02.2022","3.976,91","3.878,84","3.986,99","3.878,84","-","2,53%"
