ICON - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;3,450;17,295;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON  EJ  NM;109.940.797;0,243;17,295;
Cons N  Básico / Alimentos Processados;JALL3;JALLESMACHAD;ON      NM;96.450.967;0,198;17,295;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.290.736.673;9,610;17,295;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;83.169.222;0,463;17,295;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;348.234.011;1,133;17,295;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.409.710;0,782;17,295;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.845.106;1,416;17,295;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.380.195.841;12,772;12,772;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;794.531.367;2,656;5,347;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;410.988.561;1,605;5,347;
Cons N Cíclico / Comércio Distr.;GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,416;5,347;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,670;5,347;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;834.914.221;2,955;2,955;
Cons N Ciclico/Agropecuária;TTEN3;3TENTOS;ON      NM;112.343.586;0,213;3,208;
Cons N Ciclico/Agropecuária;SOJA3;BOA SAFRA;ON      NM;46.459.548;0,128;3,208;
Cons N Ciclico/Agropecuária;AGRO3;BRASILAGRO;ON      NM;51.771.532;0,325;3,208;
Cons N Ciclico/Agropecuária;RAIZ4;RAIZEN;PN      N2;1.246.412.032;1,445;3,208;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96.270.946;1,097;3,208;
Consumo Cíclico / Comércio;ALLD3;ALLIED;ON      NM;32.273.738;0,081;14,472;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.875.824;2,178;14,472;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;60.235.329;0,968;14,472;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;106.394.635;0,065;14,472;
Consumo Cíclico / Comércio;ESPA3;ESPACOLASER;ON      NM;161.437.857;0,093;14,472;
Consumo Cíclico / Comércio;SBFG3;GRUPO SBF;ON      NM;95.476.716;0,479;14,472;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;489.316.435;1,104;14,472;
Consumo Cíclico / Comércio;GUAR3;GUARARAPES;ON      NM;81.934.660;0,140;14,472;
Consumo Cíclico / Comércio;AMAR3;LOJAS MARISA;ON      NM;155.296.395;0,069;14,472;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;977.821.540;5,284;14,472;
