Data,Último,Var%,Var%2
2019-01-02,10564.18,4.32,4.32
2019-01-03,10708.01,1.36,5.680000000000001
2019-01-04,10594.19,-1.06,4.620000000000001
2019-01-07,10611.79,0.17,4.790000000000001
2019-01-08,10648.66,0.35,5.140000000000001
2019-01-09,10746.32,0.92,6.0600000000000005
2019-01-10,10794.91,0.45,6.510000000000001
2019-01-11,10789.78,-0.05,6.460000000000001
2019-01-14,10936.21,1.36,7.820000000000001
2019-01-15,10846.77,-0.82,7.000000000000001
2019-01-16,10871.35,0.23,7.230000000000001
2019-01-17,10921.31,0.46,7.690000000000001
2019-01-18,11017.28,0.88,8.570000000000002
2019-01-21,10954.62,-0.57,8.000000000000002
2019-01-22,10892.44,-0.57,7.4300000000000015
2019-01-23,11086.09,1.78,9.21
2019-01-24,11179.97,0.85,10.06
2019-01-28,11285.93,0.95,11.01
2019-01-29,11228.86,-0.51,10.5
2019-01-30,11292.93,0.57,11.07
2019-01-31,11521.56,2.02,13.09
2019-02-01,11554.32,0.28,13.37
2019-02-04,11757.37,1.76,15.129999999999999
2019-02-05,11674.7,-0.7,14.43
2019-02-06,11181.7,-4.22,10.21
2019-02-07,11192.25,0.09,10.3
2019-02-08,11370.86,1.6,11.9
2019-02-11,11231.4,-1.23,10.67
2019-02-12,11498.32,2.38,13.05
2019-02-13,11308.94,-1.65,11.4
2019-02-14,11679.1,3.27,14.67
2019-02-15,11601.54,-0.66,14.01
2019-02-18,11435.41,-1.43,12.58
2019-02-19,11603.89,1.47,14.05
2019-02-20,11446.41,-1.36,12.690000000000001
2019-02-21,11539.88,0.82,13.510000000000002
2019-02-22,11622.64,0.72,14.230000000000002
2019-02-25,11534.75,-0.76,13.470000000000002
2019-02-26,11613.83,0.69,14.160000000000002
2019-02-27,11480.41,-1.15,13.010000000000002
2019-02-28,11229.68,-2.18,10.830000000000002
2019-03-01,11121.63,-0.96,9.870000000000001
2019-03-06,11014.33,-0.96,8.91
2019-03-07,11040.93,0.24,9.15
2019-03-08,11240.35,1.81,10.96
2019-03-11,11612.77,3.31,14.270000000000001
2019-03-12,11624.79,0.1,14.370000000000001
2019-03-13,11729.7,0.9,15.270000000000001
