IFNC - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Interms Financs;ABCB4;ABC BRASIL;PN      N2;67.592.406;0,238;74,754;
Financ e Outros / Interms Financs;BMGB4;BANCO BMG;PN      N1;100.178.101;0,057;74,754;
Financ e Outros / Interms Financs;BIDI11;BANCO INTER;UNT     N2;577.852.934;1,400;74,754;
Financ e Outros / Interms Financs;BPAN4;BANCO PAN;PN      N1;341.124.068;0,523;74,754;
Financ e Outros / Interms Financs;BRSR6;BANRISUL;PNB     N1;202.535.840;0,444;74,754;
Financ e Outros / Interms Financs;BRBI11;BR PARTNERS;UNT     N2;57.220.464;0,187;74,754;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.203.668.949;4,250;74,754;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;4.095.410.790;17,401;74,754;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.530.937;10,933;74,754;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;6,620;74,754;
Financ e Outros / Interms Financs;ITSA4;ITAUSA;PN  EJ  N1;4.736.140.654;9,408;74,754;
Financ e Outros / Interms Financs;ITUB3;ITAUUNIBANCO;ON  EJ  N1;287.815.190;1,336;74,754;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;3.571.462.768;19,274;74,754;
Financ e Outros / Interms Financs;MODL11;MODALMAIS;UNT     N2;97.061.509;0,179;74,754;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;362.703.399;2,504;74,754;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.629.692;3,701;7,778;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,816;7,778;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,773;7,778;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.864.206;0,763;7,778;
Financ e Outros / Previd  Seguros;SULA11;SUL AMERICA;UNT     N2;283.167.854;1,585;7,778;
Financ e Outros / Previd  Seguros;WIZS3;WIZ S.A.;ON      NM;77.540.728;0,140;7,778;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.987.625.321;15,671;17,468;
Financeiro e Outros/Serviços Financeiros Diversos;BOAS3;BOA VISTA;ON      NM;531.732.464;0,664;17,468;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.144.359.228;0,942;17,468;
Financeiro e Outros/Serviços Financeiros Diversos;CLSA3;CLEARSALE;ON      NM;53.239.587;0,048;17,468;
Financeiro e Outros/Serviços Financeiros Diversos;CARD3;CSU CARDSYST;ON      NM;18.493.267;0,054;17,468;
Financeiro e Outros/Serviços Financeiros Diversos;GETT11;GETNET BR;UNT;90.675.851;0,089;17,468;
Quantidade Teórica Total;;;;29.236.068.734;100,000;100,000
Redutor;;;;45.277.318,97052424
