"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.05.2022","737,92","724,42","739,04","699,25","-","1,84%"
"03.05.2022","724,60","726,07","732,46","714,42","-","-0,20%"
"02.05.2022","726,04","733,82","734,86","713,08","-","-1,05%"
"29.04.2022","733,76","740,09","775,57","733,76","-","-0,83%"
"28.04.2022","739,89","730,31","744,12","727,63","-","1,31%"
"27.04.2022","730,30","725,75","742,85","725,75","-","0,62%"
"26.04.2022","725,78","737,28","737,69","722,37","-","-1,56%"
"25.04.2022","737,28","730,70","739,25","713,38","-","0,88%"
"22.04.2022","730,88","753,61","753,61","727,37","-","-3,02%"
"20.04.2022","753,61","750,56","756,17","746,72","-","0,40%"
"19.04.2022","750,58","736,63","752,67","733,21","-","1,89%"
"18.04.2022","736,66","731,66","743,57","726,93","-","0,68%"
"14.04.2022","731,72","742,32","742,32","729,28","-","-1,43%"
"13.04.2022","742,32","739,16","749,00","732,84","-","0,43%"
"12.04.2022","739,14","738,88","758,62","732,61","-","0,04%"
"11.04.2022","738,84","751,05","751,05","734,27","-","-1,68%"
"08.04.2022","751,48","767,11","767,11","742,99","-","-2,04%"
"07.04.2022","767,11","768,89","775,07","761,81","-","-0,23%"
"06.04.2022","768,89","792,44","792,44","760,78","-","-2,97%"
"05.04.2022","792,42","810,05","816,63","791,33","-","-2,18%"
"04.04.2022","810,09","813,09","813,13","802,68","-","-0,37%"
"01.04.2022","813,09","785,92","813,46","785,73","-","3,47%"
"31.03.2022","785,82","795,87","805,46","784,15","-","-1,27%"
"30.03.2022","795,91","807,38","809,96","791,54","-","-1,42%"
"29.03.2022","807,36","793,91","816,62","793,75","-","1,78%"
"28.03.2022","793,27","799,95","802,65","785,36","-","-0,83%"
"25.03.2022","799,90","780,06","808,85","780,00","-","2,55%"
"24.03.2022","780,00","748,08","780,89","745,54","-","4,24%"
"23.03.2022","748,25","737,48","753,12","731,78","-","1,46%"
