Data,Último,Var%,Var%2
2019-01-02,834.22,2.47,2.47
2019-01-03,838.99,0.57,3.04
2019-01-04,827.96,-1.31,1.73
2019-01-07,823.67,-0.52,1.21
2019-01-08,823.15,-0.06,1.15
2019-01-09,834.24,1.35,2.5
2019-01-10,833.49,-0.09,2.41
2019-01-11,830.14,-0.4,2.0100000000000002
2019-01-14,838.16,0.97,2.9800000000000004
2019-01-15,837.79,-0.04,2.9400000000000004
2019-01-16,834.58,-0.38,2.5600000000000005
2019-01-17,852.2,2.11,4.67
2019-01-18,855.07,0.34,5.01
2019-01-21,853.55,-0.18,4.83
2019-01-22,851.93,-0.19,4.64
2019-01-23,871.99,2.35,6.99
2019-01-24,883.21,1.29,8.280000000000001
2019-01-28,888.23,0.57,8.850000000000001
2019-01-29,889.08,0.1,8.950000000000001
2019-01-30,893.31,0.48,9.430000000000001
2019-01-31,898.96,0.63,10.060000000000002
2019-02-01,891.7,-0.81,9.250000000000002
2019-02-04,897.34,0.63,9.880000000000003
2019-02-05,898.39,0.12,10.000000000000002
2019-02-06,878.18,-2.25,7.750000000000002
2019-02-07,861.81,-1.86,5.8900000000000015
2019-02-08,869.87,0.94,6.830000000000002
2019-02-11,864.27,-0.64,6.190000000000002
2019-02-12,858.85,-0.63,5.560000000000002
2019-02-13,855.29,-0.41,5.150000000000002
2019-02-14,869.81,1.7,6.850000000000002
2019-02-15,861.78,-0.92,5.930000000000002
2019-02-18,861.73,-0.01,5.920000000000003
2019-02-19,864.09,0.27,6.190000000000003
2019-02-20,849.15,-1.73,4.460000000000003
2019-02-21,845.94,-0.38,4.080000000000003
2019-02-22,854.06,0.96,5.040000000000003
2019-02-25,857.08,0.35,5.390000000000002
2019-02-26,852.06,-0.59,4.8000000000000025
2019-02-27,855.72,0.43,5.230000000000002
2019-02-28,847.68,-0.94,4.290000000000003
2019-03-01,841.09,-0.78,3.5100000000000025
2019-03-06,829.78,-1.34,2.1700000000000026
2019-03-07,829.89,0.01,2.1800000000000024
2019-03-08,849.33,2.34,4.520000000000002
2019-03-11,862.07,1.5,6.020000000000002
2019-03-12,856.3,-0.67,5.350000000000002
2019-03-13,864.41,0.95,6.3000000000000025
2019-03-14,857.81,-0.76,5.540000000000003
2019-03-15,855.56,-0.26,5.280000000000003
2019-03-18,854.46,-0.13,5.150000000000003
