IMOB - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;104.486.454;1,807;39,575;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;281.609.283;9,889;39,575;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;75.384.053;2,124;39,575;
Consumo Cíclico/Constr Civil;EVEN3;EVEN;ON      NM;199.399.963;2,666;39,575;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;101.618.236;4,312;39,575;
Consumo Cíclico/Constr Civil;GFSA3;GAFISA;ON      NM;118.208.091;0,441;39,575;
Consumo Cíclico/Constr Civil;HBOR3;HELBOR;ON      NM;65.306.596;0,518;39,575;
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON      NM;305.915.142;5,595;39,575;
Consumo Cíclico/Constr Civil;LAVV3;LAVVI;ON      NM;93.139.429;1,281;39,575;
Consumo Cíclico/Constr Civil;MTRE3;MITRE REALTY;ON      NM;54.034.454;0,770;39,575;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;294.647.234;7,156;39,575;
Consumo Cíclico/Constr Civil;PLPL3;PLANOEPLANO;ON      NM;66.384.300;0,437;39,575;
Consumo Cíclico/Constr Civil;TCSA3;TECNISA;ON      NM;50.442.218;0,300;39,575;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;96.139.516;1,142;39,575;
Consumo Cíclico/Constr Civil;TRIS3;TRISUL;ON      NM;83.225.626;0,805;39,575;
Consumo Cíclico/Constr Civil;VIVR3;VIVER;ON      NM;142.902.713;0,332;39,575;
Financ e Outros / Explor Imóveis;ALSO3;ALIANSCSONAE;ON      NM;126.260.263;6,380;60,425;
Financ e Outros / Explor Imóveis;BRML3;BR MALLS PAR;ON      NM;828.273.884;18,993;60,425;
Financ e Outros / Explor Imóveis;BRPR3;BR PROPERT;ON      NM;187.579.163;4,566;60,425;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;180.013.980;9,161;60,425;
Financ e Outros / Explor Imóveis;LOGG3;LOG COM PROP;ON      NM;59.190.591;3,406;60,425;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;272.718.548;17,134;60,425;
Financ e Outros / Explor Imóveis;SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,785;60,425;
Quantidade Teórica Total;;;;3.846.539.861;100,000;100,000
Redutor;;;;54.606.769,20875443
