"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.05.2022","21.287,39","21.134,35","21.332,72","20.753,27","-","0,72%"
"03.05.2022","21.134,96","21.161,12","21.294,10","21.023,66","-","-0,12%"
"02.05.2022","21.161,21","21.346,25","21.432,63","20.871,19","-","-0,87%"
"29.04.2022","21.346,07","21.859,10","22.108,43","21.346,07","-","-2,35%"
"28.04.2022","21.859,08","21.748,00","22.015,83","21.527,73","-","0,51%"
"27.04.2022","21.747,17","21.319,23","21.899,42","21.319,23","-","2,01%"
"26.04.2022","21.318,66","21.893,21","21.912,44","21.318,00","-","-2,63%"
"25.04.2022","21.895,03","21.882,72","21.995,58","21.630,54","-","0,05%"
"22.04.2022","21.883,95","22.207,59","22.207,59","21.796,87","-","-1,46%"
"20.04.2022","22.207,59","22.561,85","22.655,81","22.207,59","-","-1,57%"
"19.04.2022","22.562,32","22.522,33","22.619,95","22.189,36","-","0,17%"
"18.04.2022","22.522,94","22.644,28","22.644,28","22.400,40","-","-0,54%"
"14.04.2022","22.644,25","22.779,36","22.833,70","22.520,93","-","-0,59%"
"13.04.2022","22.779,40","22.768,40","22.912,01","22.557,63","-","0,05%"
"12.04.2022","22.767,78","22.980,77","23.314,94","22.723,58","-","-0,92%"
"11.04.2022","22.978,30","23.306,84","23.306,84","22.978,30","-","-1,42%"
"08.04.2022","23.308,43","23.275,77","23.495,63","22.976,30","-","0,14%"
"07.04.2022","23.276,09","23.314,78","23.372,97","23.131,77","-","-0,17%"
"06.04.2022","23.314,80","23.527,58","23.527,58","23.016,53","-","-0,90%"
"05.04.2022","23.527,58","23.827,02","24.002,15","23.491,51","-","-1,26%"
"04.04.2022","23.826,71","23.896,04","23.976,75","23.706,29","-","-0,29%"
"01.04.2022","23.897,19","23.745,08","23.991,29","23.687,38","-","0,64%"
"31.03.2022","23.744,78","23.733,83","23.907,67","23.730,21","-","0,05%"
"30.03.2022","23.732,95","23.731,38","23.831,34","23.588,74","-","0,01%"
"29.03.2022","23.730,94","23.442,31","23.805,04","23.440,41","-","1,23%"
"28.03.2022","23.441,63","23.216,95","23.485,02","23.216,95","-","0,97%"
