Data,Último,Var%,Var%2
2019-01-02,15506.53,2.72,2.72
2019-01-03,15509.26,0.02,2.74
2019-01-04,15630.03,0.78,3.5200000000000005
2019-01-07,15506.97,-0.79,2.7300000000000004
2019-01-08,15523.34,0.11,2.8400000000000003
2019-01-09,15792.48,1.73,4.57
2019-01-10,15866.86,0.47,5.04
2019-01-11,15953.11,0.54,5.58
2019-01-14,16063.0,0.69,6.27
2019-01-15,16127.73,0.4,6.67
2019-01-16,16272.28,0.9,7.57
2019-01-17,16330.63,0.36,7.930000000000001
2019-01-18,16439.71,0.67,8.600000000000001
2019-01-21,16573.84,0.82,9.420000000000002
2019-01-22,16294.03,-1.69,7.730000000000002
2019-01-23,16441.84,0.91,8.640000000000002
2019-01-24,16715.3,1.66,10.300000000000002
2019-01-28,16913.82,1.19,11.490000000000002
2019-01-29,16811.27,-0.61,10.880000000000003
2019-01-30,16978.01,0.99,11.870000000000003
2019-01-31,16736.24,-1.42,10.450000000000003
2019-02-01,16932.15,1.17,11.620000000000003
2019-02-04,17089.43,0.93,12.550000000000002
2019-02-05,17279.26,1.11,13.660000000000002
2019-02-06,16755.99,-3.03,10.630000000000003
2019-02-07,16800.15,0.26,10.890000000000002
2019-02-08,16720.47,-0.47,10.420000000000002
2019-02-11,16719.35,-0.01,10.410000000000002
2019-02-12,16705.99,-0.08,10.330000000000002
2019-02-13,16607.15,-0.59,9.740000000000002
2019-02-14,16735.87,0.78,10.520000000000001
2019-02-15,16749.43,0.08,10.600000000000001
2019-02-18,16672.63,-0.46,10.14
2019-02-19,16778.72,0.64,10.780000000000001
2019-02-20,16661.08,-0.7,10.080000000000002
2019-02-21,16668.86,0.05,10.130000000000003
2019-02-22,16833.89,0.99,11.120000000000003
2019-02-25,16875.06,0.24,11.360000000000003
2019-02-26,16937.42,0.37,11.730000000000002
2019-02-27,16762.61,-1.03,10.700000000000003
2019-02-28,16378.04,-2.29,8.410000000000004
2019-03-01,16427.93,0.3,8.710000000000004
2019-03-06,16234.86,-1.18,7.530000000000005
2019-03-07,16222.56,-0.08,7.450000000000005
2019-03-08,16234.77,0.08,7.530000000000005
2019-03-11,16492.7,1.59,9.120000000000005
2019-03-12,16398.21,-0.57,8.550000000000004
2019-03-13,16517.14,0.73,9.280000000000005
2019-03-14,16475.92,-0.25,9.030000000000005
2019-03-15,16706.36,1.4,10.430000000000005
2019-03-18,17042.47,2.01,12.440000000000005
2019-03-19,16870.59,-1.01,11.430000000000005
2019-03-20,16666.65,-1.21,10.220000000000006
2019-03-21,16546.81,-0.72,9.500000000000005
2019-03-22,16189.32,-2.16,7.340000000000005
2019-03-25,16115.48,-0.46,6.880000000000005
2019-03-26,16461.07,2.14,9.020000000000005
2019-03-27,16054.55,-2.47,6.550000000000004
2019-03-28,16360.46,1.91,8.460000000000004
2019-03-29,16512.96,0.93,9.390000000000004
2019-04-01,16776.54,1.6,10.990000000000004
2019-04-02,16671.22,-0.63,10.360000000000003
2019-04-03,16561.92,-0.66,9.700000000000003
2019-04-04,16706.83,0.87,10.570000000000002
2019-04-05,16869.69,0.97,11.540000000000003
2019-04-08,16908.59,0.23,11.770000000000003
2019-04-09,16790.78,-0.7,11.070000000000004
2019-04-10,16722.44,-0.41,10.660000000000004
2019-04-11,16562.63,-0.96,9.700000000000003
2019-04-12,16569.07,0.04,9.740000000000002
2019-04-15,16659.51,0.55,10.290000000000003
2019-04-16,16944.68,1.71,12.000000000000004
2019-04-17,16794.87,-0.88,11.120000000000003
