INDX - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;AERI3;AERIS;ON      NM;218.058.827;0,190;10,488;
Bens Indls / Máqs e Equips;TASA4;TAURUS ARMAS;PN      N2;64.846.202;0,331;10,488;
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.484.859.030;9,967;10,488;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.588.205;2,570;3,932;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;557.765.916;0,421;3,932;
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;177.628.801;0,485;3,932;
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;25.408.950;0,019;3,932;
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;67.547.494;0,437;3,932;
Bens Industriais / Constr e Engenh;PTBL3;PORTOBELLO;ON      NM;66.269.176;0,142;0,142;
Comput e Equips;INTB3;INTELBRAS;ON      NM;114.575.879;0,807;0,965;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;78.053.723;0,158;0,965;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;4,408;21,844;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON  EJ  NM;109.940.797;0,311;21,844;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.290.736.673;12,278;21,844;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;83.169.222;0,592;21,844;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;348.234.011;1,447;21,844;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.409.710;0,999;21,844;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.845.106;1,809;21,844;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.380.195.841;16,319;16,319;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;834.914.221;3,776;3,776;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;201.257.220;1,092;2,297;
Consumo Cíclico / Tecid Vest Calç;GRND3;GRENDENE;ON      NM;267.057.056;0,596;2,297;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;99.446.859;0,609;2,297;
Consumo Cíclico/Autos e Motos;MYPK3;IOCHP-MAXION;ON      NM;137.561.133;0,621;0,621;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;281.609.283;0,980;2,993;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;75.384.053;0,210;2,993;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;101.618.236;0,427;2,993;
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON      NM;305.915.142;0,554;2,993;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;294.647.234;0,709;2,993;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;96.139.516;0,113;2,993;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;295.712.871;0,882;16,046;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;812.994.397;4,849;16,046;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;726.779.281;10,315;16,046;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;264.975.728;3,228;4,536;
Mats Básicos / Químicos;UNIP6;UNIPAR;PNB;49.364.157;1,308;4,536;
Mats Básicos / Sid Metalurgia;FESA4;FERBASA;PN  EDJ N1;40.165.900;0,600;16,041;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.097.534.498;8,304;16,041;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;698.275.321;2,257;16,041;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;642.398.790;3,454;16,041;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;514.680.651;1,426;16,041;
Quantidade Teórica Total;;;;19.120.077.720;100,000;100,000
Redutor;;;;17.830.444,31325994
