"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.05.2022","2.143,49","2.110,01","2.143,88","2.079,93","-","1,59%"
"03.05.2022","2.110,04","2.113,60","2.124,11","2.100,75","-","-0,17%"
"02.05.2022","2.113,60","2.136,89","2.136,99","2.085,62","-","-1,09%"
"29.04.2022","2.136,90","2.176,32","2.215,20","2.136,90","-","-1,81%"
"28.04.2022","2.176,32","2.163,22","2.191,99","2.156,69","-","0,61%"
"27.04.2022","2.163,18","2.137,14","2.176,33","2.137,14","-","1,22%"
"26.04.2022","2.137,11","2.183,85","2.183,85","2.132,67","-","-2,14%"
"25.04.2022","2.183,87","2.193,22","2.193,71","2.156,14","-","-0,43%"
"22.04.2022","2.193,29","2.260,70","2.260,70","2.183,92","-","-2,98%"
"20.04.2022","2.260,76","2.275,99","2.276,01","2.251,37","-","-0,67%"
"19.04.2022","2.276,00","2.292,64","2.292,68","2.261,24","-","-0,73%"
"18.04.2022","2.292,67","2.305,23","2.305,32","2.284,01","-","-0,54%"
"14.04.2022","2.305,23","2.315,83","2.315,86","2.293,42","-","-0,46%"
"13.04.2022","2.315,84","2.303,28","2.325,48","2.303,28","-","0,55%"
"12.04.2022","2.303,26","2.320,15","2.351,38","2.302,52","-","-0,72%"
"11.04.2022","2.319,95","2.346,24","2.346,24","2.319,95","-","-1,12%"
"08.04.2022","2.346,29","2.356,07","2.356,58","2.331,62","-","-0,42%"
"07.04.2022","2.356,07","2.341,62","2.364,06","2.327,83","-","0,62%"
"06.04.2022","2.341,66","2.349,40","2.349,40","2.314,05","-","-0,33%"
"05.04.2022","2.349,41","2.396,69","2.402,20","2.347,45","-","-1,97%"
"04.04.2022","2.396,71","2.401,61","2.401,64","2.386,22","-","-0,21%"
"01.04.2022","2.401,67","2.374,22","2.402,82","2.374,22","-","1,16%"
"31.03.2022","2.374,22","2.378,53","2.390,63","2.373,29","-","-0,18%"
"30.03.2022","2.378,50","2.370,91","2.383,15","2.368,08","-","0,32%"
"29.03.2022","2.370,96","2.349,70","2.389,85","2.349,70","-","0,91%"
"28.03.2022","2.349,69","2.356,77","2.364,21","2.337,05","-","-0,30%"
"25.03.2022","2.356,78","2.362,56","2.374,61","2.347,60","-","-0,23%"
"24.03.2022","2.362,27","2.333,54","2.367,84","2.326,80","-","1,23%"
"23.03.2022","2.333,55","2.331,25","2.351,31","2.328,88","-","0,10%"
