MLCX - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.484.859.030;1,810;1,810;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.693.556;0,734;1,818;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1,084;1,818;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,801;3,623;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.290.736.673;2,230;3,623;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;348.234.011;0,263;3,623;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.845.106;0,329;3,623;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.380.195.841;2,964;2,964;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;794.531.367;0,616;0,988;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,372;0,988;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;834.914.221;0,686;0,686;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.875.824;0,506;2,165;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;977.821.540;1,226;2,165;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,433;2,165;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;201.257.220;0,198;0,198;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;243.804.766;0,165;0,165;
Diversos;RENT3;LOCALIZA;ON      NM;594.670.317;1,564;2,130;
Diversos;LCAM3;LOCAMERICA;ON      NM;321.385.288;0,377;2,130;
Diversos;VAMO3;VAMOS;ON      NM;266.313.930;0,189;2,130;
Financ e Outros / Interms Financs;BIDI11;BANCO INTER;UNT     N2;577.852.934;0,318;19,584;
Financ e Outros / Interms Financs;BPAN4;BANCO PAN;PN      N1;341.124.068;0,119;19,584;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.516.726.535;1,216;19,584;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.160.570.290;4,978;19,584;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.530.937;2,482;19,584;
