"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.05.2022","2.317,85","2.263,83","2.320,43","2.209,09","-","2,39%"
"03.05.2022","2.263,84","2.263,60","2.270,54","2.244,23","-","0,01%"
"02.05.2022","2.263,60","2.312,43","2.314,12","2.228,95","-","-2,11%"
"29.04.2022","2.312,44","2.362,15","2.404,78","2.312,44","-","-2,10%"
"28.04.2022","2.362,14","2.341,26","2.371,56","2.320,40","-","0,89%"
"27.04.2022","2.341,24","2.327,75","2.366,45","2.327,75","-","0,58%"
"26.04.2022","2.327,75","2.357,99","2.368,05","2.309,02","-","-1,28%"
"25.04.2022","2.358,04","2.339,08","2.362,20","2.300,00","-","0,81%"
"22.04.2022","2.339,10","2.405,25","2.405,25","2.328,01","-","-2,75%"
"20.04.2022","2.405,26","2.414,48","2.429,41","2.399,69","-","-0,38%"
"19.04.2022","2.414,49","2.396,49","2.419,56","2.371,57","-","0,75%"
"18.04.2022","2.396,49","2.389,45","2.404,98","2.374,66","-","0,29%"
"14.04.2022","2.389,46","2.416,40","2.417,31","2.383,46","-","-1,11%"
"13.04.2022","2.416,40","2.402,55","2.435,57","2.390,09","-","0,58%"
"12.04.2022","2.402,55","2.406,78","2.459,70","2.389,94","-","-0,17%"
"11.04.2022","2.406,70","2.448,30","2.448,30","2.406,70","-","-1,70%"
"08.04.2022","2.448,38","2.476,34","2.476,34","2.417,60","-","-1,13%"
"07.04.2022","2.476,41","2.477,60","2.484,29","2.452,42","-","-0,05%"
"06.04.2022","2.477,63","2.529,47","2.529,47","2.445,75","-","-2,05%"
"05.04.2022","2.529,47","2.582,50","2.592,71","2.528,00","-","-2,05%"
"04.04.2022","2.582,51","2.581,32","2.586,53","2.559,33","-","0,05%"
"01.04.2022","2.581,32","2.523,40","2.582,36","2.523,40","-","2,29%"
"31.03.2022","2.523,41","2.537,95","2.559,00","2.515,77","-","-0,57%"
"30.03.2022","2.537,95","2.569,95","2.576,25","2.528,62","-","-1,24%"
"29.03.2022","2.569,94","2.519,98","2.578,56","2.519,98","-","1,99%"
"28.03.2022","2.519,72","2.532,15","2.540,90","2.494,97","-","-0,49%"
"25.03.2022","2.532,16","2.482,16","2.540,46","2.481,96","-","2,02%"
"24.03.2022","2.482,05","2.424,11","2.484,64","2.420,13","-","2,39%"
"23.03.2022","2.424,11","2.395,78","2.432,46","2.382,18","-","1,18%"
"22.03.2022","2.395,78","2.344,30","2.396,13","2.344,30","-","2,19%"
"21.03.2022","2.344,33","2.348,80","2.378,88","2.325,98","-","-0,19%"
"18.03.2022","2.348,81","2.278,34","2.355,75","2.267,98","-","3,09%"
"17.03.2022","2.278,37","2.247,81","2.280,96","2.223,97","-","1,36%"
"16.03.2022","2.247,71","2.215,28","2.257,84","2.206,81","-","1,47%"
"15.03.2022","2.215,23","2.195,89","2.221,47","2.178,15","-","0,88%"
"14.03.2022","2.195,89","2.227,65","2.248,07","2.189,92","-","-1,43%"
"11.03.2022","2.227,65","2.295,84","2.316,34","2.218,96","-","-2,97%"
"10.03.2022","2.295,83","2.306,84","2.306,84","2.243,31","-","-0,48%"
"09.03.2022","2.306,93","2.223,21","2.309,76","2.222,65","-","3,77%"
