Data,Último,Var%,Var%2
2019-01-02,1833.84,2.12,2.12
2019-01-03,1842.05,0.45,2.5700000000000003
2019-01-04,1838.7,-0.18,2.39
2019-01-07,1824.34,-0.78,1.61
2019-01-08,1817.91,-0.35,1.2600000000000002
2019-01-09,1841.13,1.28,2.54
2019-01-10,1854.67,0.74,3.2800000000000002
2019-01-11,1867.04,0.67,3.95
2019-01-14,1893.33,1.41,5.36
2019-01-15,1891.37,-0.1,5.260000000000001
2019-01-16,1884.7,-0.35,4.910000000000001
2019-01-17,1908.16,1.24,6.150000000000001
2019-01-18,1908.44,0.01,6.160000000000001
2019-01-21,1904.04,-0.23,5.930000000000001
2019-01-22,1897.62,-0.34,5.590000000000001
2019-01-23,1923.42,1.36,6.950000000000001
2019-01-24,1951.33,1.45,8.4
2019-01-28,1926.07,-1.29,7.11
2019-01-29,1939.28,0.69,7.800000000000001
2019-01-30,1969.15,1.54,9.34
2019-01-31,1964.84,-0.22,9.12
2019-02-01,1974.82,0.51,9.629999999999999
2019-02-04,1984.53,0.49,10.12
2019-02-05,1984.4,-0.01,10.11
2019-02-06,1932.27,-2.63,7.4799999999999995
2019-02-07,1911.16,-1.09,6.39
2019-02-08,1928.76,0.92,7.31
2019-02-11,1918.09,-0.55,6.76
2019-02-12,1932.07,0.73,7.49
2019-02-13,1933.16,0.06,7.55
2019-02-14,1961.69,1.48,9.03
2019-02-15,1955.89,-0.3,8.729999999999999
2019-02-18,1955.25,-0.03,8.7
2019-02-19,1960.7,0.28,8.979999999999999
2019-02-20,1936.86,-1.22,7.759999999999999
2019-02-21,1924.34,-0.65,7.1099999999999985
2019-02-22,1939.11,0.77,7.879999999999999
2019-02-25,1944.12,0.26,8.139999999999999
2019-02-26,1938.88,-0.27,7.869999999999999
2019-02-27,1946.97,0.42,8.29
2019-02-28,1929.11,-0.92,7.369999999999999
2019-03-01,1928.22,-0.05,7.319999999999999
2019-03-06,1911.32,-0.88,6.4399999999999995
2019-03-07,1903.53,-0.41,6.029999999999999
2019-03-08,1938.13,1.82,7.85
2019-03-11,1966.84,1.48,9.33
2019-03-12,1969.66,0.14,9.47
2019-03-13,1977.57,0.4,9.870000000000001
2019-03-14,1981.19,0.18,10.05
2019-03-15,1981.5,0.02,10.07
2019-03-18,1996.8,0.77,10.84
2019-03-19,2000.7,0.2,11.04
2019-03-20,1979.56,-1.06,9.979999999999999
2019-03-21,1958.96,-1.04,8.939999999999998
2019-03-22,1909.18,-2.54,6.399999999999998
2019-03-25,1914.06,0.26,6.6599999999999975
2019-03-26,1940.81,1.4,8.059999999999997
2019-03-27,1870.82,-3.61,4.4499999999999975
2019-03-28,1907.25,1.95,6.399999999999998
2019-03-29,1931.05,1.25,7.649999999999998
2019-04-01,1947.69,0.86,8.509999999999998
2019-04-02,1943.15,-0.23,8.279999999999998
2019-04-03,1939.32,-0.2,8.079999999999998
2019-04-04,1963.7,1.26,9.339999999999998
2019-04-05,1977.6,0.71,10.049999999999997
2019-04-08,1970.37,-0.37,9.679999999999998
