SMLL - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;AERI3;AERIS;ON      NM;218.058.827;0,245;2,523;
Bens Indls / Máqs e Equips;ARML3;ARMAC;ON      NM;170.115.256;0,831;2,523;
Bens Indls / Máqs e Equips;KEPL3;KEPLER WEBER;ON;89.638.659;0,569;2,523;
Bens Indls / Máqs e Equips;MILS3;MILLS;ON  EJ  NM;113.954.358;0,274;2,523;
Bens Indls / Máqs e Equips;ROMI3;ROMI;ON      NM;37.272.660;0,177;2,523;
Bens Indls / Máqs e Equips;TASA4;TAURUS ARMAS;PN      N2;64.846.202;0,427;2,523;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.588.205;3,312;5,066;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;557.765.916;0,543;5,066;
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;177.628.801;0,625;5,066;
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;25.408.950;0,024;5,066;
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;67.547.494;0,562;5,066;
Bens Indls / Serviços;GGPS3;GPS;ON      NM;385.222.623;1,767;2,389;
Bens Indls / Serviços;SEQL3;SEQUOIA LOG;ON      NM;122.837.313;0,339;2,389;
Bens Indls / Serviços;VLID3;VALID;ON      NM;78.269.230;0,283;2,389;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.741.172;1,904;6,853;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,827;6,853;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;167.095.214;0,726;6,853;
Bens Indls/Transporte;HBSA3;HIDROVIAS;ON      NM;760.109.566;0,775;6,853;
Bens Indls/Transporte;LOGN3;LOG-IN;ON      NM;28.893.055;0,348;6,853;
Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;858.126.173;2,068;6,853;
Bens Indls/Transporte;TGMA3;TEGMA;ON      NM;32.001.480;0,170;6,853;
Bens Indls/Transporte;TPIS3;TRIUNFO PART;ON      NM;74.237.233;0,035;6,853;
Bens Industriais / Constr e Engenh;PTBL3;PORTOBELLO;ON      NM;66.269.176;0,183;0,183;
Comput e Equips;INTB3;INTELBRAS;ON      NM;114.575.879;1,040;1,516;
Comput e Equips;MLAS3;MULTILASER;ON      NM;172.313.238;0,273;1,516;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;78.053.723;0,203;1,516;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON  EJ  NM;109.940.797;0,400;2,777;
Cons N  Básico / Alimentos Processados;JALL3;JALLESMACHAD;ON      NM;96.450.967;0,326;2,777;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;83.169.222;0,763;2,777;
