"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.05.2022","9.120,92","8.959,16","9.120,92","8.802,70","-","1,79%"
"03.05.2022","8.960,14","9.001,96","9.045,94","8.925,42","-","-0,46%"
"02.05.2022","9.001,86","9.118,92","9.129,39","8.906,33","-","-1,28%"
"29.04.2022","9.118,52","9.313,52","9.418,57","9.118,52","-","-2,08%"
"28.04.2022","9.312,65","9.312,60","9.365,40","9.295,64","-","0,03%"
"27.04.2022","9.310,27","9.228,07","9.338,98","9.228,07","-","0,90%"
"26.04.2022","9.227,68","9.256,54","9.289,94","9.196,74","-","-0,32%"
"25.04.2022","9.257,30","9.104,33","9.275,61","9.073,07","-","1,65%"
"22.04.2022","9.107,16","9.250,70","9.250,70","9.073,25","-","-1,56%"
"20.04.2022","9.251,33","9.209,59","9.285,82","9.155,81","-","0,45%"
"19.04.2022","9.209,71","9.424,68","9.426,72","9.146,82","-","-2,29%"
"18.04.2022","9.425,11","9.495,17","9.552,49","9.423,69","-","-0,74%"
"14.04.2022","9.495,17","9.451,73","9.495,98","9.390,60","-","0,46%"
"13.04.2022","9.451,75","9.379,38","9.501,93","9.379,38","-","0,78%"
"12.04.2022","9.378,39","9.383,41","9.507,88","9.352,64","-","-0,05%"
"11.04.2022","9.382,97","9.465,98","9.469,36","9.382,97","-","-0,89%"
"08.04.2022","9.467,11","9.368,69","9.489,90","9.330,06","-","1,05%"
"07.04.2022","9.368,75","9.351,09","9.411,99","9.282,43","-","0,17%"
"06.04.2022","9.352,52","9.356,89","9.356,89","9.202,44","-","-0,06%"
"05.04.2022","9.358,38","9.488,91","9.494,30","9.348,72","-","-1,38%"
"04.04.2022","9.488,91","9.530,63","9.548,08","9.433,50","-","-0,43%"
"01.04.2022","9.530,13","9.323,70","9.545,34","9.323,70","-","2,21%"
"31.03.2022","9.323,70","9.240,37","9.342,74","9.231,51","-","0,92%"
"30.03.2022","9.239,14","9.301,64","9.326,97","9.219,06","-","-0,67%"
"29.03.2022","9.301,48","9.212,83","9.425,09","9.210,27","-","0,97%"
"28.03.2022","9.211,80","9.254,56","9.290,69","9.169,29","-","-0,46%"
"25.03.2022","9.254,58","9.256,84","9.313,65","9.207,25","-","-0,02%"
"24.03.2022","9.256,14","9.081,57","9.263,11","9.081,57","-","1,95%"
"23.03.2022","9.079,11","9.065,53","9.110,04","9.011,79","-","0,15%"
"22.03.2022","9.065,53","8.898,21","9.072,32","8.898,21","-","1,89%"
"21.03.2022","8.896,99","8.861,57","8.911,14","8.809,16","-","0,40%"
"18.03.2022","8.861,57","8.644,89","8.861,57","8.628,38","-","2,51%"
"17.03.2022","8.644,96","8.442,76","8.653,11","8.420,67","-","2,40%"
"16.03.2022","8.442,14","8.388,24","8.457,47","8.314,24","-","0,63%"
"15.03.2022","8.389,67","8.360,17","8.420,71","8.295,80","-","0,33%"
"14.03.2022","8.361,88","8.360,93","8.484,32","8.318,19","-","-0,01%"
"11.03.2022","8.362,88","8.468,96","8.542,76","8.320,09","-","-1,25%"
"10.03.2022","8.468,96","8.539,00","8.539,00","8.323,30","-","-0,83%"
"09.03.2022","8.539,54","8.252,86","8.593,06","8.252,78","-","3,47%"
"08.03.2022","8.252,86","8.227,49","8.356,27","8.167,53","-","0,31%"
"07.03.2022","8.227,64","8.466,53","8.466,97","8.216,24","-","-2,82%"
"04.03.2022","8.466,53","8.541,36","8.610,50","8.417,72","-","-0,87%"
"03.03.2022","8.541,18","8.519,05","8.582,97","8.456,72","-","0,26%"
"02.03.2022","8.519,05","8.481,88","8.538,71","8.381,00","-","0,43%"
"25.02.2022","8.482,47","8.453,90","8.504,73","8.369,79","-","0,33%"
"24.02.2022","8.454,34","8.515,17","8.515,17","8.291,98","-","-0,75%"
"23.02.2022","8.518,43","8.411,83","8.588,36","8.411,83","-","1,27%"
"22.02.2022","8.411,69","8.306,66","8.464,34","8.303,40","-","1,30%"
"21.02.2022","8.304,03","8.379,95","8.422,55","8.304,03","-","-0,90%"
"18.02.2022","8.379,83","8.391,02","8.475,17","8.379,18","-","-0,13%"
"17.02.2022","8.391,02","8.405,73","8.455,88","8.356,38","-","-0,18%"
"16.02.2022","8.406,53","8.380,22","8.470,55","8.375,78","-","0,32%"
"15.02.2022","8.380,10","8.217,57","8.381,56","8.207,89","-","2,04%"
"14.02.2022","8.212,26","8.232,89","8.303,47","8.177,33","-","-0,19%"
"11.02.2022","8.227,68","8.288,30","8.367,73","8.199,39","-","-0,71%"
"10.02.2022","8.286,19","8.267,79","8.333,39","8.209,12","-","0,23%"
"09.02.2022","8.267,11","8.192,06","8.286,82","8.178,16","-","0,92%"
"08.02.2022","8.192,06","8.218,35","8.239,16","8.150,64","-","-0,32%"
"07.02.2022","8.218,22","8.289,22","8.307,38","8.199,46","-","-0,86%"
"04.02.2022","8.289,33","8.356,54","8.356,54","8.208,31","-","-0,78%"
"03.02.2022","8.354,72","8.259,60","8.385,53","8.215,99","-","1,16%"
"02.02.2022","8.259,00","8.341,94","8.388,37","8.232,89","-","-0,99%"
"01.02.2022","8.341,98","8.373,50","8.421,15","8.316,50","-","-0,38%"
"31.01.2022","8.373,39","8.248,94","8.419,20","8.226,61","-","1,52%"
"28.01.2022","8.248,01","8.220,19","8.272,38","8.160,77","-","0,34%"
"27.01.2022","8.220,19","8.146,69","8.282,86","8.146,69","-","0,91%"
"26.01.2022","8.146,12","8.120,85","8.257,87","8.120,85","-","0,34%"
"25.01.2022","8.118,47","7.999,99","8.160,31","7.919,53","-","1,50%"
"24.01.2022","7.998,22","8.088,38","8.164,53","7.973,96","-","-1,12%"
"21.01.2022","8.088,50","8.082,60","8.120,83","8.000,43","-","0,06%"
"20.01.2022","8.083,50","8.011,06","8.140,13","8.010,94","-","0,90%"
"19.01.2022","8.011,06","7.865,23","8.072,68","7.865,23","-","1,86%"
"18.01.2022","7.864,94","7.890,38","7.915,09","7.837,51","-","-0,32%"
"17.01.2022","7.890,38","7.888,03","7.954,47","7.866,24","-","0,03%"
"14.01.2022","7.888,10","7.830,71","7.917,59","7.782,24","-","0,74%"
"13.01.2022","7.829,91","7.861,02","7.905,13","7.809,86","-","-0,40%"
"12.01.2022","7.861,02","7.687,39","7.875,81","7.663,35","-","2,26%"
"11.01.2022","7.687,44","7.583,98","7.687,44","7.555,21","-","1,37%"
"10.01.2022","7.583,73","7.607,25","7.610,65","7.496,88","-","-0,31%"
"07.01.2022","7.607,50","7.660,33","7.710,62","7.574,56","-","-0,66%"
"06.01.2022","7.658,42","7.773,11","7.780,80","7.644,55","-","-1,44%"
"05.01.2022","7.770,64","7.932,12","7.949,79","7.759,59","-","-2,03%"
"04.01.2022","7.932,01","8.050,33","8.067,40","7.887,60","-","-1,45%"
"03.01.2022","8.048,60","8.222,91","8.312,70","8.028,92","-","-2,12%"
"30.12.2021","8.222,92","8.153,49","8.248,35","8.131,88","-","0,83%"
"29.12.2021","8.154,85","8.229,42","8.244,07","8.130,60","-","-0,92%"
"28.12.2021","8.230,53","8.213,85","8.235,48","8.140,67","-","0,20%"
"27.12.2021","8.213,97","8.171,91","8.233,40","8.140,47","-","0,52%"
"23.12.2021","8.171,38","8.236,88","8.244,53","8.153,39","-","-0,80%"
"22.12.2021","8.237,25","8.216,08","8.242,02","8.161,10","-","0,26%"
"21.12.2021","8.216,10","8.219,51","8.231,31","8.153,66","-","-0,03%"
"20.12.2021","8.218,41","8.319,50","8.319,50","8.144,40","-","-1,21%"
"17.12.2021","8.319,10","8.268,83","8.360,85","8.191,78","-","0,61%"
"16.12.2021","8.268,69","8.379,47","8.409,77","8.232,58","-","-1,31%"
"15.12.2021","8.378,26","8.346,95","8.422,84","8.194,36","-","0,39%"
"14.12.2021","8.346,03","8.431,05","8.557,46","8.315,33","-","-1,00%"
"13.12.2021","8.430,25","8.407,27","8.555,42","8.382,46","-","0,27%"
"10.12.2021","8.407,16","8.353,68","8.513,28","8.353,68","-","0,65%"
"09.12.2021","8.353,14","8.421,22","8.493,99","8.316,39","-","-0,82%"
"08.12.2021","8.422,32","8.332,50","8.536,87","8.331,10","-","1,06%"
"07.12.2021","8.333,60","8.363,01","8.418,35","8.305,63","-","-0,26%"
"06.12.2021","8.355,22","8.363,54","8.483,30","8.349,89","-","-0,10%"
"03.12.2021","8.363,54","8.224,54","8.446,38","8.224,54","-","1,70%"
"02.12.2021","8.223,85","7.970,58","8.283,83","7.969,10","-","3,29%"
"01.12.2021","7.962,25","8.015,75","8.149,22","7.924,43","-","-0,61%"
"30.11.2021","8.011,47","8.094,27","8.099,25","7.921,77","-","-1,03%"
"29.11.2021","8.095,00","8.064,07","8.160,84","8.064,07","-","0,40%"
"26.11.2021","8.063,03","8.215,08","8.215,08","8.008,77","-","-1,89%"
"25.11.2021","8.218,05","8.117,47","8.291,14","8.117,47","-","1,24%"
