Data,Último,Var%,Var%2
2019-01-02,5723.6,4.29,4.29
2019-01-03,5863.44,2.44,6.73
2019-01-04,5897.17,0.58,7.3100000000000005
2019-01-07,5792.71,-1.77,5.540000000000001
2019-01-08,5829.44,0.63,6.170000000000001
2019-01-09,5890.26,1.04,7.210000000000001
2019-01-10,5947.84,0.98,8.190000000000001
2019-01-11,6009.21,1.03,9.22
2019-01-14,6114.75,1.76,10.98
2019-01-15,6081.32,-0.55,10.43
2019-01-16,6061.86,-0.32,10.11
2019-01-17,6133.67,1.18,11.29
2019-01-18,6145.17,0.19,11.479999999999999
2019-01-21,6190.86,0.74,12.219999999999999
2019-01-22,6176.58,-0.23,11.989999999999998
2019-01-23,6281.6,1.7,13.689999999999998
2019-01-24,6401.02,1.9,15.589999999999998
2019-01-28,6422.9,0.34,15.929999999999998
2019-01-29,6504.62,1.27,17.2
2019-01-30,6524.12,0.3,17.5
2019-01-31,6518.18,-0.09,17.41
2019-02-01,6571.9,0.82,18.23
2019-02-04,6555.97,-0.24,17.990000000000002
2019-02-05,6516.5,-0.6,17.39
2019-02-06,6352.1,-2.52,14.870000000000001
2019-02-07,6310.44,-0.66,14.21
2019-02-08,6388.57,1.24,15.450000000000001
2019-02-11,6294.79,-1.47,13.98
2019-02-12,6320.66,0.41,14.39
2019-02-13,6365.85,0.71,15.100000000000001
2019-02-14,6464.1,1.54,16.64
2019-02-15,6436.25,-0.43,16.21
2019-02-18,6413.63,-0.35,15.860000000000001
2019-02-19,6459.71,0.72,16.580000000000002
2019-02-20,6375.26,-1.31,15.270000000000001
2019-02-21,6413.44,0.6,15.870000000000001
2019-02-22,6488.58,1.17,17.04
2019-02-25,6486.72,-0.03,17.009999999999998
2019-02-26,6463.68,-0.36,16.65
2019-02-27,6559.54,1.48,18.13
2019-02-28,6429.82,-1.98,16.15
2019-03-01,6365.69,-1.0,15.149999999999999
2019-03-06,6303.85,-0.97,14.179999999999998
2019-03-07,6197.69,-1.68,12.499999999999998
2019-03-08,6330.91,2.15,14.649999999999999
2019-03-11,6418.16,1.38,16.029999999999998
