UTIL - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Utilidade Públ / Água Saneamento;AMBP3;AMBIPAR;ON      NM;43.853.759;0,596;11,774;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.444.559;1,192;11,774;
Utilidade Públ / Água Saneamento;ORVR3;ORIZON;ON      NM;33.519.442;0,518;11,774;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.934;7,513;11,774;
Utilidade Públ / Água Saneamento;SAPR11;SANEPAR;UNT     N2;201.076.373;1,955;11,774;
Utilidade Públ / Energ Elétrica;AESB3;AES BRASIL;ON      NM;262.255.471;1,388;88,226;
Utilidade Públ / Energ Elétrica;ALUP11;ALUPAR;UNT     N2;140.050.337;1,862;88,226;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;301.966.318;2,136;88,226;
Utilidade Públ / Energ Elétrica;CMIG3;CEMIG;ON      N1;360.771.230;2,727;88,226;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.448.479.060;8,047;88,226;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      N2;319.774.264;1,032;88,226;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;5,531;88,226;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;3,108;88,226;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;358.028.908;7,733;88,226;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;242.987.127;5,182;88,226;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;230.931.405;2,435;88,226;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;5,362;88,226;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.257.479.978;9,049;88,226;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.217.329;5,356;88,226;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;13,371;88,226;
Utilidade Públ / Energ Elétrica;LIGT3;LIGHT S/A;ON      NM;372.555.324;1,486;88,226;
Utilidade Públ / Energ Elétrica;NEOE3;NEOENERGIA;ON      NM;226.098.192;1,992;88,226;
Utilidade Públ / Energ Elétrica;MEGA3;OMEGAENERGIA;ON      NM;276.811.029;1,361;88,226;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;4,444;88,226;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.797.044;4,624;88,226;
Quantidade Teórica Total;;;;10.574.756.535;100,000;100,000
Redutor;;;;22.040.505,38495814
