IBOV - Carteira do Dia 04/05/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.484.859.030;2,121;2,121
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.588.205;0,523;0,523;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.741.172;0,351;2,242;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.693.556;0,681;2,242;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,112;2,242;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;167.095.214;0,122;2,242;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON  EX  NM;1.216.056.103;0,976;2,242;
Comput e Equips;POSI3;POSITIVO TEC;ON  ED  NM;78.053.723;0,029;0,029;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,724;3,631;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.290.736.673;2,414;3,631;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;348.234.011;0,318;3,631;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON  ED  NM;260.409.710;0,175;3,631;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.380.195.841;3,136;3,136;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON  ED  NM;794.531.367;0,606;1,192;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON  ED  NM;410.988.561;0,419;1,192;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON  EJ  NM;156.946.474;0,167;1,192;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;834.914.221;0,760;0,760;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON  ED  NM;96.270.946;0,264;0,264;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.875.824;0,700;3,313;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON  ED  NM;489.316.435;0,291;3,313;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;977.821.540;1,156;3,313;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,670;3,313;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON  ED  NM;336.154.589;0,266;3,313;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.596.295.753;0,230;3,313;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;201.257.220;0,199;0,199;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON  ED  NM;281.609.283;0,203;0,539;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;101.618.236;0,082;0,539;
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON      NM;305.915.142;0,100;0,539;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;294.647.234;0,154;0,539;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;224.231.429;0,141;0,141;
Diversos;COGN3;COGNA ON;ON      NM;1.828.106.676;0,222;2,401;
