ICON - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;3.835,48;3.637,26;3.637,31;;;4.135,96;4.614,39;;4.825,92;4.814,21;
2;3.495,32;;;3.625,16;3.876,51;;4.174,22;4.651,36;4.703,14;4.711,25;;4.890,02
3;3.501,68;;;3.606,83;3.889,89;3.941,38;4.239,99;;4.673,00;4.727,07;;4.909,26
4;3.486,64;3.861,88;;3.671,10;;3.956,83;4.304,36;;4.713,27;4.818,22;4.814,00;4.909,58
5;;3.866,27;;3.701,88;;3.917,42;4.347,90;4.553,50;4.706,59;;4.766,36;4.914,88
6;;3.731,85;3.578,59;;3.886,12;3.939,56;;4.665,35;4.666,55;;4.764,14;5.006,87
7;3.456,54;3.747,76;3.570,71;;3.848,55;3.965,65;;4.672,21;;4.748,60;4.784,85;
8;3.467,75;3.745,07;3.634,10;3.671,68;3.891,13;;4.383,64;4.707,86;;4.701,93;4.704,16;
9;3.534,18;;;3.652,62;3.863,95;;;4.774,84;4.587,08;4.713,82;;4.970,18
10;3.577,23;;;3.659,39;3.839,13;3.995,84;4.462,93;;4.585,51;4.691,96;;4.958,62
11;3.598,63;3.745,22;3.705,10;3.640,27;;4.011,85;4.399,24;;4.680,13;4.782,50;4.758,98;4.992,96
12;;3.767,30;3.686,06;3.623,31;;3.997,68;4.323,44;4.715,39;4.703,85;;4.661,28;5.059,47
13;;3.728,04;3.684,60;;3.763,23;4.046,11;;4.719,87;4.650,45;;4.639,78;5.128,22
14;3.631,09;3.787,95;3.673,87;;3.810,06;4.023,92;;4.593,90;;4.806,67;4.704,83;
15;3.629,95;3.758,06;3.688,14;3.648,54;3.785,58;;4.325,39;4.552,62;;4.823,71;;
16;3.649,10;;;3.688,51;3.754,16;;4.296,48;4.620,84;4.678,22;4.866,98;;5.162,04
17;3.701,66;;;3.640,71;3.739,41;4.027,54;4.319,47;;4.726,66;4.859,28;;5.110,02
18;3.720,59;3.747,02;3.750,37;3.673,88;;4.047,16;4.366,49;;4.728,03;4.857,38;4.694,40;5.192,74
19;;3.766,68;3.744,88;;;4.105,48;4.322,31;4.614,05;4.770,21;;4.690,46;5.235,87
20;;3.697,62;3.703,28;;3.819,16;;;4.609,39;4.802,27;;;5.233,00
21;3.709,09;3.700,26;3.651,67;;3.864,50;4.142,31;;4.671,60;;4.911,16;4.759,27;
22;3.654,22;3.740,26;3.560,82;3.725,72;3.877,92;;4.341,80;4.619,49;;4.916,85;4.795,27;
23;3.698,33;;;3.782,45;3.860,29;;4.325,89;4.517,24;4.781,27;4.855,32;;5.274,84
24;3.748,20;;;3.758,00;3.862,36;4.144,04;4.349,41;;4.829,79;4.832,82;;
25;;3.733,69;3.544,33;3.880,17;;4.076,30;4.394,26;;4.842,24;4.754,34;4.846,86;
26;;3.729,09;3.612,37;3.873,66;;4.067,05;4.456,29;4.451,18;4.843,37;;4.801,67;5.349,20
27;;3.734,11;3.489,65;;3.893,97;4.103,47;;4.493,92;4.829,25;;4.829,10;5.328,26
28;3.804,77;3.654,11;3.583,55;;3.948,74;4.126,17;;4.562,73;;4.743,73;4.882,55;
29;3.805,24;;3.625,62;3.894,51;3.923,03;;4.518,58;4.686,02;;4.724,61;4.886,19;
30;3.850,00;;;3.928,49;3.976,83;;4.529,15;4.715,25;4.839,88;4.767,52;;5.278,33
31;3.818,38;;;;3.967,14;;4.513,14;;;4.744,50;;
MÍNIMO;3.456,54;3.654,11;3.489,65;3.606,83;3.739,41;3.917,42;4.135,96;4.451,18;4.585,51;4.691,96;4.639,78;4.890,02
MÍNIMO;3.850,00;3.866,27;3.750,37;3.928,49;3.976,83;4.144,04;4.529,15;4.774,84;4.843,37;4.916,85;4.886,19;5.349,20
