ICON - Carteira do Dia 04/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON  ED  NM;112.343.586;0,199;
AALR3;ALLIAR;ON      NM;42.288.232;0,165;
ALLD3;ALLIED;ON  ED  NM;32.273.738;0,086;
ALPA4;ALPARGATAS;PN      N1;201.257.220;0,790;
ABEV3;AMBEV S/A;ON;4.380.195.841;12,467;
AMER3;AMERICANAS;ON      NM;596.875.824;2,783;
ANIM3;ANIMA;ON      NM;272.810.577;0,286;
ARZZ3;AREZZO CO;ON  ED  NM;60.235.329;1,049;
ASAI3;ASSAI;ON  ED  NM;794.531.367;2,411;
BKBR3;BK BRASIL;ON      NM;272.582.179;0,332;
BLAU3;BLAU;ON      NM;31.393.939;0,149;
SOJA3;BOA SAFRA;ON  ED  NM;46.459.548;0,120;
AGRO3;BRASILAGRO;ON      NM;51.771.532;0,357;
BRFS3;BRF SA;ON      NM;1.076.512.610;2,877;
CAML3;CAMIL;ON      NM;109.940.797;0,187;
CRFB3;CARREFOUR BR;ON  ED  NM;410.988.561;1,665;
CEAB3;CEA MODAS;ON      NM;106.394.635;0,090;
COGN3;COGNA ON;ON      NM;1.828.106.676;0,884;
CSED3;CRUZEIRO EDU;ON  ED  NM;77.755.200;0,055;
CURY3;CURY S/A;ON  ED  NM;104.486.454;0,139;
CVCB3;CVC BRASIL;ON      NM;224.231.429;0,559;
CYRE3;CYRELA REALT;ON  ED  NM;281.609.283;0,808;
DASA3;DASA;ON      NM;70.772.973;0,287;
PNVL3;DIMED;ON      NM;71.745.377;0,164;
DIRR3;DIRECIONAL;ON      NM;75.384.053;0,171;
ESPA3;ESPACOLASER;ON      NM;161.437.857;0,132;
EVEN3;EVEN;ON      NM;199.399.963;0,216;
EZTC3;EZTEC;ON      NM;101.618.236;0,325;
FLRY3;FLEURY;ON      NM;303.373.882;0,879;
GFSA3;GAFISA;ON      NM;118.208.091;0,037;
GRND3;GRENDENE;ON  EDJ NM;267.057.056;0,514;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,428;
NTCO3;GRUPO NATURA;ON      NM;834.914.221;3,020;
SBFG3;GRUPO SBF;ON  ED  NM;95.476.716;0,439;
SOMA3;GRUPO SOMA;ON  ED  NM;489.316.435;1,157;
GUAR3;GUARARAPES;ON      NM;81.934.660;0,148;
HAPV3;HAPVIDA;ON      NM;4.454.692.382;7,871;
HBOR3;HELBOR;ON  ED  NM;65.306.596;0,042;
HYPE3;HYPERA;ON      NM;410.253.528;2,994;
PARD3;IHPARDINI;ON      NM;41.617.930;0,146;
MEAL3;IMC S/A;ON      NM;264.997.832;0,130;
MYPK3;IOCHP-MAXION;ON      NM;137.561.133;0,360;
JALL3;JALLESMACHAD;ON      NM;96.450.967;0,179;
JBSS3;JBS;ON      NM;1.290.736.673;9,597;
JHSF3;JHSF PART;ON      NM;305.915.142;0,397;
LAVV3;LAVVI;ON  ED  NM;93.139.429;0,090;
RENT3;LOCALIZA;ON  ED  NM;594.670.317;6,234;
LCAM3;LOCAMERICA;ON  ED  NM;321.385.288;1,484;
AMAR3;LOJAS MARISA;ON      NM;155.296.395;0,069;
LREN3;LOJAS RENNER;ON      NM;977.821.540;4,597;
MDIA3;M.DIASBRANCO;ON      NM;83.169.222;0,390;
MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;2,663;
MRFG3;MARFRIG;ON      NM;348.234.011;1,265;
MATD3;MATER DEI;ON  ED  NM;81.073.044;0,185;
LEVE3;METAL LEVE;ON  ED  NM;38.492.518;0,190;
BEEF3;MINERVA;ON  ED  NM;260.409.710;0,697;
MTRE3;MITRE REALTY;ON      NM;54.034.454;0,061;
MOVI3;MOVIDA;ON      NM;133.201.362;0,429;
MRVE3;MRV;ON      NM;294.647.234;0,612;
ODPV3;ODONTOPREV;ON      NM;245.618.209;0,494;
ONCO3;ONCOCLINICAS;ON      NM;135.788.449;0,194;
PCAR3;P.ACUCAR-CBD;ON  EJ  NM;156.946.474;0,664;
PGMN3;PAGUE MENOS;ON      NM;157.843.200;0,234;
PETZ3;PETZ;ON  ED  NM;336.154.589;1,059;
PLPL3;PLANOEPLANO;ON  ED  NM;66.384.300;0,037;
QUAL3;QUALICORP;ON      NM;277.027.077;0,709;
LJQQ3;QUERO-QUERO;ON      NM;179.211.429;0,291;
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;4,307;
RAIZ4;RAIZEN;PN      N2;1.246.412.032;1,545;
RDOR3;REDE D OR;ON      NM;929.901.433;6,670;
SMTO3;SAO MARTINHO;ON      NM;142.845.106;1,274;
SEER3;SER EDUCA;ON      NM;54.338.507;0,097;
SLCE3;SLC AGRICOLA;ON  ED  NM;96.270.946;1,049;
SMFT3;SMART FIT;ON      NM;243.804.766;0,859;
TECN3;TECHNOS;ON      NM;48.844.410;0,024;
TCSA3;TECNISA;ON      NM;50.442.218;0,030;
TEND3;TENDA;ON      NM;96.139.516;0,109;
TRIS3;TRISUL;ON  ED  NM;83.225.626;0,068;
VAMO3;VAMOS;ON      NM;266.313.930;0,706;
VIIA3;VIA;ON      NM;1.596.295.753;0,912;
VIVA3;VIVARA S.A.;ON  ED  NM;99.446.859;0,483;
VIVR3;VIVER;ON      NM;142.902.713;0,030;
VULC3;VULCABRAS;ON      NM;73.766.391;0,148;
YDUQ3;YDUQS PART;ON  ED  NM;300.833.122;0,950;
Quantidade Teórica Total;;;35.946.811.545;100,000
Redutor;;;143.212.206,01576588
