IFNC - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;11.709,89;10.549,70;11.118,21;;12.466,89;12.057,50;;11.483,87;10.697,23;10.119,85;9.450,20
2;;11.761,75;10.809,90;;;12.620,23;12.216,23;11.845,46;11.136,53;;;9.774,53
3;;11.889,81;10.868,04;;11.609,33;;;11.962,41;11.059,22;;10.193,31;9.805,38
4;12.035,98;11.936,86;10.978,76;;11.260,53;12.779,24;;11.699,26;;10.313,51;9.845,89;
5;11.951,00;11.938,24;11.226,76;11.242,33;11.456,54;;12.052,54;11.635,02;;10.382,90;10.062,22;
6;12.043,48;;;11.239,49;11.388,42;;11.904,92;11.879,58;11.203,33;10.403,00;;9.934,97
7;12.455,97;;;11.218,99;11.593,35;12.911,79;12.049,12;;;10.331,82;;9.948,87
8;12.598,68;11.820,96;10.688,72;11.209,85;;12.714,64;11.910,09;;10.577,57;10.549,63;9.928,51;9.976,98
9;;11.858,25;10.738,53;11.168,05;;12.733,42;;11.941,67;10.804,78;;9.918,81;9.689,62
10;;11.627,74;10.966,62;;11.654,94;12.695,89;;11.785,35;10.716,73;;10.192,47;9.884,27
11;12.319,11;11.671,19;11.104,14;;11.649,35;12.584,46;;11.725,86;;10.273,80;10.291,01;
12;12.445,15;11.644,37;11.001,17;11.387,66;11.392,06;;12.187,17;11.366,35;;;10.228,21;
13;12.296,63;;;11.320,97;11.598,74;;12.210,01;11.498,91;10.962,43;10.465,26;;9.707,20
14;12.493,01;;;11.386,21;11.762,37;12.616,73;12.343,97;;10.937,85;10.446,81;;9.664,30
15;12.094,09;;11.033,95;11.347,84;;12.688,73;12.256,27;;10.814,08;10.778,18;;9.709,61
16;;;10.850,75;11.486,71;;12.858,81;12.052,06;11.275,58;10.803,04;;10.056,17;9.707,53
17;;11.616,53;11.172,21;;11.770,95;12.844,47;;11.162,15;10.560,83;;9.963,37;9.556,02
18;12.157,53;11.475,22;11.225,19;;11.776,55;12.740,36;;11.114,82;;10.804,05;9.856,71;
19;12.053,11;11.438,22;11.405,20;11.361,20;11.835,54;;11.944,48;11.207,82;;10.416,65;9.849,41;
20;11.890,82;;;11.296,10;11.948,15;;12.059,64;11.240,87;10.235,01;10.714,79;;9.330,95
21;11.675,97;;;;11.961,07;12.728,76;12.119,51;;10.292,84;10.426,35;;9.245,09
22;11.543,73;10.823,09;11.382,39;11.251,21;;12.626,67;12.023,02;;10.565,80;10.092,75;9.622,11;9.300,10
23;;11.195,25;11.259,70;11.418,47;;12.594,10;11.944,73;11.207,94;10.731,23;;9.724,50;9.282,11
24;;11.150,45;11.063,98;;12.161,71;12.569,58;;11.454,74;10.625,20;;9.917,48;
25;;10.863,79;11.212,30;;11.986,58;12.270,16;;11.441,33;;10.300,34;10.110,17;
26;11.385,35;10.690,92;11.288,43;11.403,08;12.109,22;;12.044,95;11.245,21;;10.014,30;9.764,22;
27;11.360,28;;;11.369,52;12.104,33;;11.978,90;11.501,72;10.752,30;10.077,73;;9.342,81
28;11.808,30;;;11.708,67;12.227,83;12.284,71;12.115,01;;10.381,73;10.001,81;;9.289,43
29;11.477,96;;11.263,02;11.490,54;;12.263,83;12.020,94;;10.467,19;9.779,05;9.729,55;9.210,12
30;;;11.452,48;11.461,30;;12.193,03;11.713,83;11.367,42;10.364,93;;9.573,13;9.205,71
31;;;11.371,36;;12.248,19;;;11.445,27;;;;
MÍNIMO;11.360,28;10.690,92;10.549,70;11.118,21;11.260,53;12.193,03;11.713,83;11.114,82;10.235,01;9.779,05;9.573,13;9.205,71
MÍNIMO;12.598,68;11.938,24;11.452,48;11.708,67;12.248,19;12.911,79;12.343,97;11.962,41;11.483,87;10.804,05;10.291,01;9.976,98
