IFNC - Carteira do Dia 06/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;67.592.406;0,241;
B3SA3;B3;ON      NM;5.987.625.321;16,409;
BMGB4;BANCO BMG;PN      N1;100.178.101;0,064;
BIDI11;BANCO INTER;UNT     N2;577.852.934;1,847;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,656;
BRSR6;BANRISUL;PNB ED  N1;202.535.840;0,486;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;3,801;
BOAS3;BOA VISTA;ON  ED  NM;531.732.464;0,880;
BRBI11;BR PARTNERS;UNT     N2;57.220.464;0,201;
BBDC3;BRADESCO;ON  EJ  N1;1.203.668.949;3,963;
BBDC4;BRADESCO;PN  EJ  N1;4.095.410.790;16,418;
BBAS3;BRASIL;ON      NM;1.420.530.937;10,837;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;6,510;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,897;
CIEL3;CIELO;ON      NM;1.144.359.228;0,807;
CLSA3;CLEARSALE;ON      NM;53.239.587;0,055;
CARD3;CSU CARDSYST;ON      NM;18.493.267;0,059;
GETT11;GETNET BR;UNT;90.675.851;0,072;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,761;
ITSA4;ITAUSA;PN      N1;4.736.140.654;9,499;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;287.815.190;1,300;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;3.571.462.768;18,807;
MODL11;MODALMAIS;UNT     N2;97.061.509;0,181;
PSSA3;PORTO SEGURO;ON      NM;181.864.206;0,828;
SANB11;SANTANDER BR;UNT;362.703.399;2,623;
SULA11;SUL AMERICA;UNT     N2;283.167.854;1,666;
WIZS3;WIZ S.A.;ON      NM;77.540.728;0,132;
Quantidade Teórica Total;;;29.236.068.734;100,000
Redutor;;;45.383.809,33705444
