IMOB - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;992,12;865,05;954,31;;1.034,29;955,95;;833,54;777,20;687,92;662,35
2;;1.007,49;873,21;;;1.047,90;967,94;930,74;811,32;;;690,68
3;;1.037,35;862,86;;966,45;;;920,92;805,22;;713,22;716,56
4;1.018,23;1.024,85;879,83;;957,18;1.075,69;;910,36;;752,06;701,42;
5;1.011,90;1.016,48;914,55;972,40;965,14;;966,42;894,42;;736,92;722,01;
6;971,13;;;975,47;971,66;;946,32;903,48;820,35;736,34;;732,31
7;964,15;;;960,06;999,24;1.080,58;959,01;;;732,83;;713,92
8;1.011,33;1.023,73;859,30;956,06;;1.075,49;951,30;;779,04;773,80;706,55;746,11
9;;1.006,10;841,48;975,90;;1.058,20;;909,01;797,69;;725,94;724,14
10;;982,59;866,19;;995,14;1.058,49;;891,95;799,25;;747,47;755,90
11;976,83;988,05;915,44;;990,04;1.032,82;;886,89;;764,36;764,15;
12;1.001,68;988,12;932,74;969,47;950,20;;975,96;868,32;;;753,39;
13;1.000,02;;;971,07;965,54;;985,98;863,28;828,66;790,09;;741,75
14;1.027,55;;;964,02;987,15;1.057,19;1.001,97;;823,56;777,57;;719,99
15;1.009,90;;947,84;971,61;;1.050,91;992,66;;813,97;783,65;;724,57
16;;;917,76;980,29;;1.040,69;984,22;846,17;806,21;;723,57;718,31
17;;972,87;947,23;;1.010,86;1.031,89;;824,88;805,99;;710,69;735,28
18;1.009,28;962,22;915,76;;996,08;1.038,01;;826,54;;791,32;719,08;
19;1.004,06;960,73;953,71;979,36;985,18;;973,06;834,01;;745,19;732,90;
20;1.000,84;;;972,34;1.003,05;;977,76;843,83;799,91;737,47;;705,49
21;971,11;;;;971,41;1.040,65;971,17;;819,87;700,26;;698,28
22;956,27;924,54;954,02;958,06;;1.026,16;975,66;;825,08;675,61;711,95;698,73
23;;922,86;948,61;968,50;;1.015,89;956,22;828,00;808,55;;707,36;695,80
24;;918,28;928,36;;970,14;1.031,25;;868,44;802,22;;709,40;
25;;905,27;950,94;;981,37;1.001,72;;874,03;;692,31;733,53;
26;956,80;879,07;941,68;978,32;994,97;;944,38;841,72;;661,47;700,35;
27;961,72;;;965,03;1.005,87;;929,94;863,68;793,53;682,05;;705,91
28;1.005,36;;;971,13;1.015,43;986,16;937,11;;762,18;668,66;;718,25
29;977,92;;927,21;960,12;;971,44;947,81;;756,09;661,56;691,77;714,03
30;;;976,20;945,20;;978,71;919,70;847,47;753,55;;680,49;724,26
31;;;964,67;;1.012,65;;;842,74;;;;
MÍNIMO;956,27;879,07;841,48;945,20;950,20;971,44;919,70;824,88;753,55;661,47;680,49;662,35
MÍNIMO;1.027,55;1.037,35;976,20;980,29;1.015,43;1.080,58;1.001,97;930,74;833,54;791,32;764,15;755,90
