IMOB - Carteira do Dia 04/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALSO3;ALIANSCSONAE;ON  ED  NM;126.260.263;6,391;
BRML3;BR MALLS PAR;ON  ED  NM;828.273.884;19,153;
BRPR3;BR PROPERT;ON  ED  NM;187.579.163;4,181;
CURY3;CURY S/A;ON  ED  NM;104.486.454;1,759;
CYRE3;CYRELA REALT;ON  ED  NM;281.609.283;10,209;
DIRR3;DIRECIONAL;ON      NM;75.384.053;2,156;
EVEN3;EVEN;ON      NM;199.399.963;2,728;
EZTC3;EZTEC;ON      NM;101.618.236;4,110;
GFSA3;GAFISA;ON      NM;118.208.091;0,463;
HBOR3;HELBOR;ON  ED  NM;65.306.596;0,531;
IGTI11;IGUATEMI S.A;UNT ED  N1;180.013.980;9,280;
JHSF3;JHSF PART;ON      NM;305.915.142;5,012;
LAVV3;LAVVI;ON  ED  NM;93.139.429;1,131;
LOGG3;LOG COM PROP;ON      NM;59.190.591;3,453;
MTRE3;MITRE REALTY;ON      NM;54.034.454;0,768;
MRVE3;MRV;ON      NM;294.647.234;7,728;
MULT3;MULTIPLAN;ON      N2;272.718.548;16,661;
PLPL3;PLANOEPLANO;ON  ED  NM;66.384.300;0,469;
SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,831;
TCSA3;TECNISA;ON      NM;50.442.218;0,379;
TEND3;TENDA;ON      NM;96.139.516;1,371;
TRIS3;TRISUL;ON  ED  NM;83.225.626;0,864;
VIVR3;VIVER;ON      NM;142.902.713;0,372;
Quantidade Teórica Total;;;3.846.539.861;100,000
Redutor;;;54.668.008,47590338
