INDX - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;23.622,45;;23.897,19;;;;;;;;
2;;23.275,67;22.510,90;;21.161,21;;;;;;;
3;23.965,32;22.955,57;22.520,64;;21.134,96;;;;;;;
4;23.855,56;22.974,64;22.580,92;23.826,71;21.287,39;;;;;;;
5;23.230,15;;;23.527,58;20.833,94;;;;;;;
6;23.180,94;;;23.314,80;;;;;;;;
7;23.021,26;23.141,39;21.978,21;23.276,09;;;;;;;;
8;;23.218,19;22.042,56;23.308,43;;;;;;;;
9;;23.564,61;22.903,50;;;;;;;;;
10;22.964,33;23.483,55;22.550,95;;;;;;;;;
11;23.126,75;23.213,36;22.159,14;22.978,30;;;;;;;;
12;23.664,91;;;22.767,78;;;;;;;;
13;23.521,92;;;22.779,40;;;;;;;;
14;23.735,56;23.348,60;21.890,68;22.644,25;;;;;;;;
15;;23.630,63;21.771,85;;;;;;;;;
16;;23.379,36;22.443,42;;;;;;;;;
17;23.356,34;23.048,90;23.025,56;;;;;;;;;
18;23.246,41;22.696,60;23.556,97;22.522,94;;;;;;;;
19;23.413,03;;;22.562,32;;;;;;;;
20;23.444,78;;;22.207,59;;;;;;;;
21;23.272,33;22.290,63;23.282,58;;;;;;;;;
22;;22.532,73;23.382,95;21.883,95;;;;;;;;
23;;22.076,07;23.193,87;;;;;;;;;
24;23.190,52;22.128,38;23.560,40;;;;;;;;;
25;23.286,62;22.371,64;23.217,15;21.895,03;;;;;;;;
26;23.251,40;;;21.318,66;;;;;;;;
27;23.654,21;;;21.747,17;;;;;;;;
28;23.496,02;;23.441,63;21.859,08;;;;;;;;
29;;;23.730,94;21.346,07;;;;;;;;
30;;;23.732,95;;;;;;;;;
31;23.545,18;;23.744,78;;;;;;;;;
MÍNIMO;22.964,33;22.076,07;21.771,85;21.318,66;20.833,94;;;;;;;
MÍNIMO;23.965,32;23.630,63;23.744,78;23.897,19;21.287,39;;;;;;;
