INDX - Carteira do Dia 04/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
AERI3;AERIS;ON      NM;218.058.827;0,246;
ALPA4;ALPARGATAS;PN      N1;201.257.220;1,042;
ABEV3;AMBEV S/A;ON;4.380.195.841;16,430;
BRKM5;BRASKEM;PNA     N1;264.975.728;2,892;
BRFS3;BRF SA;ON      NM;1.076.512.610;3,791;
CAML3;CAMIL;ON      NM;109.940.797;0,246;
CYRE3;CYRELA REALT;ON  ED  NM;281.609.283;1,065;
DXCO3;DEXCO;ON      NM;295.712.871;1,001;
DIRR3;DIRECIONAL;ON      NM;75.384.053;0,225;
EMBR3;EMBRAER;ON      NM;734.588.205;2,742;
EZTC3;EZTEC;ON      NM;101.618.236;0,429;
FESA4;FERBASA;PN  ED  N1;40.165.900;0,474;
GGBR4;GERDAU;PN      N1;1.097.534.498;7,985;
GOAU4;GERDAU MET;PN      N1;698.275.321;2,078;
GRND3;GRENDENE;ON  EDJ NM;267.057.056;0,677;
NTCO3;GRUPO NATURA;ON      NM;834.914.221;3,981;
INTB3;INTELBRAS;ON      NM;114.575.879;0,878;
MYPK3;IOCHP-MAXION;ON      NM;137.561.133;0,475;
JBSS3;JBS;ON      NM;1.290.736.673;12,648;
JHSF3;JHSF PART;ON      NM;305.915.142;0,523;
KLBN11;KLABIN S/A;UNT     N2;812.994.397;4,544;
MDIA3;M.DIASBRANCO;ON      NM;83.169.222;0,515;
POMO4;MARCOPOLO;PN      N2;557.765.916;0,403;
MRFG3;MARFRIG;ON      NM;348.234.011;1,666;
BEEF3;MINERVA;ON  ED  NM;260.409.710;0,919;
MRVE3;MRV;ON      NM;294.647.234;0,806;
PTBL3;PORTOBELLO;ON      NM;66.269.176;0,140;
POSI3;POSITIVO TEC;ON  ED  NM;78.053.723;0,154;
RAPT4;RANDON PART;PN      N1;177.628.801;0,487;
RCSL3;RECRUSUL;ON;25.408.950;0,020;
SMTO3;SAO MARTINHO;ON      NM;142.845.106;1,679;
CSNA3;SID NACIONAL;ON  ED;642.398.790;3,540;
SUZB3;SUZANO S.A.;ON      NM;726.779.281;9,813;
TASA4;TAURUS ARMAS;PN      N2;64.846.202;0,409;
TEND3;TENDA;ON      NM;96.139.516;0,143;
TUPY3;TUPY;ON      NM;67.547.494;0,366;
UNIP6;UNIPAR;PNB;49.364.157;1,286;
USIM5;USIMINAS;PNA ED  N1;514.680.651;1,533;
VIVA3;VIVARA S.A.;ON  ED  NM;99.446.859;0,637;
WEGE3;WEG;ON      NM;1.484.859.030;11,112;
Quantidade Teórica Total;;;19.120.077.720;100,000
Redutor;;;17.962.675,62693794
