MLCX - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.869,84;1.811,68;1.838,63;;;1.942,36;1.949,19;;1.993,94;2.070,62;
2;1.743,73;;;1.825,36;1.831,09;;1.927,75;1.960,89;1.934,73;1.936,96;;2.080,29
3;1.754,65;;;1.809,00;1.839,68;1.864,21;1.954,14;;1.916,08;1.944,70;;2.080,40
4;1.754,85;1.884,97;;1.842,08;;1.869,87;1.984,18;;1.945,36;1.963,73;2.080,47;2.107,34
5;;1.878,08;;1.857,39;;1.843,49;1.992,20;1.913,03;1.965,42;;2.079,25;2.114,22
6;;1.809,03;1.804,86;;1.821,33;1.866,13;;1.952,64;1.978,66;;2.072,39;2.121,74
7;1.753,09;1.805,55;1.807,04;;1.809,72;1.876,62;;1.966,78;;1.926,52;2.094,63;
8;1.760,01;1.824,31;1.825,74;1.862,31;1.832,11;;2.000,81;1.992,86;;1.914,90;2.060,02;
9;1.789,95;;;1.841,98;1.816,33;;;1.987,98;1.981,49;1.940,16;;2.118,14
10;1.793,27;;;1.835,45;1.805,76;1.868,65;2.024,05;;1.978,13;1.949,88;;2.111,70
11;1.789,71;1.806,15;1.876,59;1.813,48;;1.896,80;2.012,56;;1.986,91;1.988,24;2.074,99;2.117,29
12;;1.840,69;1.872,94;1.778,35;;1.884,75;1.988,87;1.948,58;2.003,41;;2.045,01;2.139,97
13;;1.833,28;1.893,21;;1.759,28;1.891,26;;1.975,43;1.987,69;;2.030,83;2.144,80
14;1.804,57;1.874,29;1.886,97;;1.767,31;1.876,07;;1.919,72;;1.997,64;2.039,71;
15;1.796,68;1.865,42;1.897,84;1.781,83;1.759,68;;1.986,28;1.898,28;;1.999,75;;
16;1.804,46;;;1.805,43;1.730,10;;1.986,13;1.914,38;1.991,79;2.017,25;;2.132,10
17;1.821,39;;;1.785,16;1.730,96;1.868,67;1.987,74;;2.009,35;2.009,72;;2.147,22
18;1.836,24;1.846,88;1.913,97;1.808,35;;1.902,65;2.005,03;;2.007,61;2.005,44;2.034,21;2.179,96
19;;1.868,93;1.905,93;;;1.919,85;1.981,18;1.908,94;2.002,78;;2.026,36;2.195,19
20;;1.848,08;1.875,64;;1.766,83;;;1.904,08;2.011,57;;;2.196,37
21;1.835,10;1.857,15;1.850,18;;1.815,44;1.952,28;;1.940,19;;2.029,60;2.057,10;
22;1.817,94;1.874,66;1.794,77;1.809,59;1.813,70;;1.991,44;1.918,97;;2.054,04;2.078,96;
23;1.844,57;;;1.835,54;1.805,39;;1.987,23;1.874,23;2.007,47;2.058,06;;2.210,09
24;1.865,68;;;1.820,11;1.799,11;1.953,49;1.994,75;;1.993,04;2.048,85;;
25;;1.862,66;1.793,25;1.848,58;;1.917,30;1.964,97;;2.003,87;2.055,13;2.072,41;
26;;1.870,18;1.824,11;1.842,47;;1.928,47;1.965,57;1.850,28;2.020,44;;2.045,09;2.235,66
27;;1.863,08;1.760,29;;1.821,29;1.929,76;;1.868,35;2.015,31;;2.057,77;2.222,80
28;1.826,95;1.830,76;1.806,78;;1.850,88;1.934,56;;1.885,44;;2.071,24;2.068,10;
29;1.827,87;;1.827,32;1.841,00;1.855,18;;1.978,09;1.929,13;;2.059,17;2.067,36;
30;1.851,79;;;1.844,81;1.872,14;;1.966,46;1.944,82;2.008,11;2.075,37;;2.207,77
31;1.861,35;;;;1.863,96;;1.945,28;;;2.053,37;;
MÍNIMO;1.743,73;1.805,55;1.760,29;1.778,35;1.730,10;1.843,49;1.927,75;1.850,28;1.916,08;1.914,90;2.026,36;2.080,29
MÍNIMO;1.865,68;1.884,97;1.913,97;1.862,31;1.872,14;1.953,49;2.024,05;1.992,86;2.020,44;2.075,37;2.094,63;2.235,66
