MLCX - Carteira do Dia 04/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALPA4;ALPARGATAS;PN      N1;201.257.220;0,195;
ABEV3;AMBEV S/A;ON;4.380.195.841;3,083;
AMER3;AMERICANAS;ON      NM;596.875.824;0,688;
ASAI3;ASSAI;ON  ED  NM;794.531.367;0,596;
AURE3;AUREN;ON  ED  NM;301.966.318;0,215;
B3SA3;B3;ON      NM;5.987.625.321;3,714;
BIDI11;BANCO INTER;UNT     N2;577.852.934;0,421;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,146;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,834;
BBDC3;BRADESCO;ON  EJ  N1;1.516.726.535;1,112;
BBDC4;BRADESCO;PN  EJ  N1;5.160.570.290;4,609;
BRAP4;BRADESPAR;PN  ED  N1;251.402.249;0,343;
BBAS3;BRASIL;ON      NM;1.420.530.937;2,363;
BRKM5;BRASKEM;PNA     N1;264.975.728;0,543;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,711;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,456;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,197;
CRFB3;CARREFOUR BR;ON  ED  NM;410.988.561;0,412;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,669;
CMIG3;CEMIG;ON  EDB N1;360.771.230;0,236;
CMIG4;CEMIG;PN  EDB N1;1.448.479.060;0,744;
CPLE3;COPEL;ON  ED  N2;319.774.264;0,092;
CPLE6;COPEL;PNB ED  N2;1.563.365.506;0,528;
CSAN3;COSAN;ON      NM;1.171.063.698;1,145;
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,301;
CMIN3;CSNMINERACAO;ON  ED  N2;1.120.593.365;0,279;
DASA3;DASA;ON      NM;70.772.973;0,071;
ELET3;ELETROBRAS;ON  EDR N1;358.028.908;0,687;
ELET6;ELETROBRAS;PNB EDR N1;242.987.127;0,464;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,577;
ENEV3;ENEVA;ON      NM;1.257.479.978;0,839;
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,526;
EQTL3;EQUATORIAL;ON  ED  NM;1.100.513.485;1,342;
GGBR4;GERDAU;PN      N1;1.097.534.498;1,498;
NTCO3;GRUPO NATURA;ON      NM;834.914.221;0,747;
HAPV3;HAPVIDA;ON      NM;4.454.692.382;1,946;
HYPE3;HYPERA;ON      NM;410.253.528;0,740;
ITSA4;ITAUSA;PN      N1;4.736.140.654;2,137;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;385.294.966;0,389;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.781.077.143;5,640;
JBSS3;JBS;ON      NM;1.290.736.673;2,373;
KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,853;
RENT3;LOCALIZA;ON  ED  NM;594.670.317;1,541;
LCAM3;LOCAMERICA;ON  ED  NM;321.385.288;0,367;
LREN3;LOJAS RENNER;ON      NM;977.821.540;1,137;
MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,658;
MRFG3;MARFRIG;ON      NM;348.234.011;0,313;
NEOE3;NEOENERGIA;ON  ED  NM;226.098.192;0,206;
PETR3;PETROBRAS;ON      N2;3.684.060.179;6,019;
PETR4;PETROBRAS;PN      N2;4.566.442.248;6,827;
PRIO3;PETRORIO;ON      NM;839.159.130;1,071;
PSSA3;PORTO SEGURO;ON      NM;181.864.206;0,180;
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,065;
RDOR3;REDE D OR;ON      NM;929.901.433;1,650;
RAIL3;RUMO S.A.;ON  EX  NM;1.216.056.103;0,959;
SBSP3;SABESP;ON  EJ  NM;340.001.934;0,751;
SANB11;SANTANDER BR;UNT;362.703.399;0,571;
SMTO3;SAO MARTINHO;ON      NM;142.845.106;0,315;
CSNA3;SID NACIONAL;ON  ED;642.398.790;0,664;
SMFT3;SMART FIT;ON      NM;243.804.766;0,212;
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,841;
TAEE11;TAESA;UNT     N2;218.568.234;0,477;
VIVT3;TELEF BRASIL;ON  EDJ;430.338.452;1,101;
TIMS3;TIM;ON      NM;808.619.532;0,543;
TOTS3;TOTVS;ON      NM;519.851.955;0,804;
TRPL4;TRAN PAULIST;PN      N1;395.797.044;0,500;
UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0,664;
USIM3;USIMINAS;ON  ED  N1;161.021.803;0,083;
USIM5;USIMINAS;PNA ED  N1;514.680.651;0,288;
VALE3;VALE;ON      NM;4.738.212.436;19,318;
VAMO3;VAMOS;ON      NM;266.313.930;0,175;
VBBR3;VIBRA;ON  ED  NM;1.131.883.365;1,154;
WEGE3;WEG;ON      NM;1.484.859.030;2,085;
Quantidade Teórica Total;;;87.466.262.444;100,000
Redutor;;;958.963.110,79479535
