SMLL - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.439,66;;2.581,32;;;;;;;;
2;;2.408,21;2.334,06;;2.263,60;;;;;;;
3;2.293,17;2.393,45;2.340,77;;2.263,84;;;;;;;
4;2.232,68;2.363,86;2.294,66;2.582,51;2.317,85;;;;;;;
5;2.132,62;;;2.529,47;2.231,90;;;;;;;
6;2.120,87;;;2.477,63;;;;;;;;
7;2.131,42;2.355,44;2.194,27;2.476,41;;;;;;;;
8;;2.347,75;2.223,16;2.448,38;;;;;;;;
9;;2.367,59;2.306,93;;;;;;;;;
10;2.098,94;2.374,44;2.295,83;;;;;;;;;
11;2.145,44;2.341,22;2.227,65;2.406,70;;;;;;;;
12;2.208,19;;;2.402,55;;;;;;;;
13;2.188,25;;;2.416,40;;;;;;;;
14;2.204,82;2.356,40;2.195,89;2.389,46;;;;;;;;
15;;2.411,08;2.215,23;;;;;;;;;
16;;2.413,25;2.247,71;;;;;;;;;
17;2.191,44;2.378,08;2.278,37;;;;;;;;;
18;2.162,35;2.355,03;2.348,81;2.396,49;;;;;;;;
19;2.215,57;;;2.414,49;;;;;;;;
20;2.292,47;;;2.405,26;;;;;;;;
21;2.297,34;2.285,98;2.344,33;;;;;;;;;
22;;2.330,26;2.395,78;2.339,10;;;;;;;;
23;;2.327,31;2.424,11;;;;;;;;;
24;2.257,28;2.332,55;2.482,05;;;;;;;;;
25;2.325,87;2.319,07;2.532,16;2.358,04;;;;;;;;
26;2.357,76;;;2.327,75;;;;;;;;
27;2.382,95;;;2.341,24;;;;;;;;
28;2.384,60;;2.519,72;2.362,14;;;;;;;;
29;;;2.569,94;2.312,44;;;;;;;;
30;;;2.537,95;;;;;;;;;
31;2.446,03;;2.523,41;;;;;;;;;
MÍNIMO;2.098,94;2.285,98;2.194,27;2.312,44;2.231,90;;;;;;;
MÍNIMO;2.446,03;2.439,66;2.569,94;2.582,51;2.317,85;;;;;;;
