SMLL - Carteira do Dia 04/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;200.372.163;2,916;
TTEN3;3TENTOS;ON  ED  NM;112.343.586;0,333;
ABCB4;ABC BRASIL;PN      N2;67.592.406;0,366;
AERI3;AERIS;ON      NM;218.058.827;0,312;
AESB3;AES BRASIL;ON      NM;262.255.471;0,947;
ALSO3;ALIANSCSONAE;ON  ED  NM;126.260.263;0,846;
AALR3;ALLIAR;ON      NM;42.288.232;0,276;
ALLD3;ALLIED;ON  ED  NM;32.273.738;0,144;
ALUP11;ALUPAR;UNT     N2;140.050.337;1,233;
AMBP3;AMBIPAR;ON      NM;43.853.759;0,495;
ANIM3;ANIMA;ON      NM;272.810.577;0,479;
ARZZ3;AREZZO CO;ON  ED  NM;60.235.329;1,753;
ARML3;ARMAC;ON  EJ  NM;170.115.256;0,765;
AZUL4;AZUL;PN      N2;327.741.172;2,330;
BMGB4;BANCO BMG;PN      N1;100.178.101;0,097;
BRSR6;BANRISUL;PNB ED  N1;202.535.840;0,708;
BMOB3;BEMOBI TECH;ON      NM;86.869.818;0,418;
BKBR3;BK BRASIL;ON      NM;272.582.179;0,556;
BLAU3;BLAU;ON      NM;31.393.939;0,249;
SOJA3;BOA SAFRA;ON  ED  NM;46.459.548;0,200;
BOAS3;BOA VISTA;ON  ED  NM;531.732.464;1,338;
BRML3;BR MALLS PAR;ON  ED  NM;828.273.884;2,535;
BRPR3;BR PROPERT;ON  ED  NM;187.579.163;0,553;
AGRO3;BRASILAGRO;ON      NM;51.771.532;0,597;
CAML3;CAMIL;ON      NM;109.940.797;0,313;
CBAV3;CBA;ON  ED  NM;191.350.000;1,038;
CEAB3;CEA MODAS;ON      NM;106.394.635;0,151;
CIEL3;CIELO;ON      NM;1.144.359.228;1,308;
CLSA3;CLEARSALE;ON      NM;53.239.587;0,084;
COGN3;COGNA ON;ON      NM;1.828.106.676;1,478;
CSMG3;COPASA;ON      NM;188.444.559;0,781;
CSED3;CRUZEIRO EDU;ON  ED  NM;77.755.200;0,091;
