UTIL - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;5.918,68;;7.322,30;7.898,45;;7.913,82;7.379,81;;8.231,13
2;8.680,27;;8.807,62;5.912,04;;7.410,97;7.841,07;;7.966,82;7.281,00;;8.325,01
3;8.621,55;8.980,81;8.794,53;5.767,60;;7.489,36;7.949,78;8.374,58;7.862,69;;7.494,19;8.310,76
4;;9.077,51;9.189,15;;6.423,05;7.434,55;;8.221,53;7.882,76;;7.736,87;8.287,41
5;;9.160,07;8.832,74;;6.516,01;7.434,36;;8.213,07;;7.392,51;8.002,84;
6;8.624,45;9.003,05;8.464,75;6.011,08;6.378,09;;7.998,73;8.405,52;;7.362,25;8.079,29;
7;8.620,91;8.845,79;;6.115,76;6.114,00;;7.947,73;8.317,01;;7.319,04;;8.296,80
8;8.616,57;;;6.291,71;6.315,59;7.742,29;8.026,69;;7.907,34;7.405,84;;8.272,12
9;8.683,18;;7.711,15;6.445,41;;7.750,75;8.041,98;;8.037,39;7.398,16;8.104,38;8.273,34
10;8.772,81;8.656,77;8.029,77;;;7.602,70;8.041,31;8.278,30;7.825,01;;8.139,72;8.359,06
11;;8.868,90;7.542,52;;6.272,96;;;8.134,50;7.673,19;;8.017,55;8.582,29
12;;9.006,27;6.517,92;;6.105,53;7.528,53;;8.028,51;;;7.851,70;
13;8.879,47;8.983,27;7.234,53;6.510,81;6.015,01;;7.949,62;7.870,73;;7.421,11;7.999,42;
14;8.926,15;8.972,32;;6.693,71;6.256,65;;7.934,50;7.942,56;7.759,66;7.496,51;;8.492,46
15;8.909,70;;;6.647,81;6.205,90;7.485,01;8.128,45;;7.698,40;7.537,94;;8.572,44
16;8.956,52;;6.543,94;6.608,79;;7.484,26;8.062,11;;7.731,98;7.523,14;8.073,83;8.586,74
17;8.990,22;9.089,68;6.780,96;6.633,55;;7.758,86;8.334,71;7.704,52;7.777,61;;8.122,06;8.562,23
18;;9.112,91;5.962,40;;6.498,44;7.693,17;;7.876,22;7.655,19;;8.054,39;8.554,65
19;;9.220,16;5.927,22;;6.383,76;7.755,60;;7.755,08;;7.515,18;8.041,76;
20;9.030,03;9.054,10;5.736,69;6.676,64;6.335,58;;8.355,65;7.741,66;;7.606,49;7.915,42;
21;8.991,80;9.119,58;;;6.538,49;;8.268,20;7.850,55;7.664,95;7.618,22;;8.404,08
22;9.070,14;;;6.844,55;6.651,67;7.827,49;8.398,36;;7.690,46;7.680,78;;8.438,86
23;9.139,17;;5.347,10;6.698,86;;7.722,10;8.317,84;;7.583,92;7.685,42;7.960,68;8.595,09
24;9.124,63;;5.546,82;6.207,45;;7.654,82;8.303,64;7.958,95;7.653,73;;8.025,11;
25;;;5.827,55;;7.046,25;7.741,13;;8.070,54;7.622,39;;8.100,64;
26;;8.627,80;6.352,55;;7.073,04;7.561,94;;7.915,37;;7.759,35;8.189,18;
27;8.952,64;8.415,80;6.089,13;6.475,81;7.330,80;;8.413,50;7.885,74;;7.704,22;8.202,43;
28;9.150,16;8.481,06;;6.666,55;7.294,69;;8.350,41;7.989,08;7.409,38;7.476,94;;8.736,83
29;9.066,17;;;6.711,01;7.317,44;7.704,37;8.344,93;;7.354,24;7.491,40;;8.719,39
30;8.970,52;;6.247,52;6.549,87;;7.767,21;8.416,10;;7.347,62;7.351,67;8.124,56;8.759,00
31;8.842,16;;6.187,34;;;;8.448,01;7.755,30;;;;
MÍNIMO;8.616,57;8.415,80;5.347,10;5.767,60;6.015,01;7.322,30;7.841,07;7.704,52;7.347,62;7.281,00;7.494,19;8.231,13
MÍNIMO;9.150,16;9.220,16;9.189,15;6.844,55;7.330,80;7.827,49;8.448,01;8.405,52;8.037,39;7.759,35;8.202,43;8.759,00
