UTIL - Carteira do Dia 04/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
AESB3;AES BRASIL;ON      NM;262.255.471;1,430;
ALUP11;ALUPAR;UNT     N2;140.050.337;1,863;
AMBP3;AMBIPAR;ON      NM;43.853.759;0,748;
AURE3;AUREN;ON  ED  NM;301.966.318;2,193;
CMIG3;CEMIG;ON  EDB N1;360.771.230;2,408;
CMIG4;CEMIG;PN  EDB N1;1.448.479.060;7,601;
CSMG3;COPASA;ON      NM;188.444.559;1,179;
CPLE3;COPEL;ON  ED  N2;319.774.264;0,942;
CPLE6;COPEL;PNB ED  N2;1.563.365.506;5,388;
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;3,069;
ELET3;ELETROBRAS;ON  EDR N1;358.028.908;7,018;
ELET6;ELETROBRAS;PNB EDR N1;242.987.127;4,735;
ENBR3;ENERGIAS BR;ON      NM;230.931.405;2,456;
ENGI11;ENERGISA;UNT     N2;248.477.689;5,893;
ENEV3;ENEVA;ON      NM;1.257.479.978;8,559;
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;5,370;
EQTL3;EQUATORIAL;ON  ED  NM;1.100.513.485;13,705;
LIGT3;LIGHT S/A;ON  ED  NM;372.555.324;1,656;
NEOE3;NEOENERGIA;ON  ED  NM;226.098.192;2,105;
MEGA3;OMEGAENERGIA;ON      NM;276.811.029;1,475;
ORVR3;ORIZON;ON      NM;33.519.442;0,583;
SBSP3;SABESP;ON  EJ  NM;340.001.934;7,665;
SAPR11;SANEPAR;UNT ED  N2;201.076.373;1,983;
TAEE11;TAESA;UNT     N2;218.568.234;4,869;
TRPL4;TRAN PAULIST;PN      N1;395.797.044;5,107;
Quantidade Teórica Total;;;10.574.756.535;100,000
Redutor;;;22.118.617,40717332
